location;time of measurement;weekday;pedestrians count;temperature in ºc;weather condition;incidents
Neue Schönhauser Straße, Berlin;2021-08-18 00:00:00 +0200;Wednesday;31;15;partly-cloudy-night;
Neue Schönhauser Straße, Berlin;2021-08-18 01:00:00 +0200;Wednesday;13;14;partly-cloudy-night;
Neue Schönhauser Straße, Berlin;2021-08-18 02:00:00 +0200;Wednesday;0;14;partly-cloudy-night;
Neue Schönhauser Straße, Berlin;2021-08-18 03:00:00 +0200;Wednesday;4;14;partly-cloudy-night;
Neue Schönhauser Straße, Berlin;2021-08-18 04:00:00 +0200;Wednesday;3;13;partly-cloudy-night;
Neue Schönhauser Straße, Berlin;2021-08-18 05:00:00 +0200;Wednesday;6;13;partly-cloudy-night;
Neue Schönhauser Straße, Berlin;2021-08-18 06:00:00 +0200;Wednesday;23;13;partly-cloudy-night;
Neue Schönhauser Straße, Berlin;2021-08-18 07:00:00 +0200;Wednesday;83;13;partly-cloudy-day;
Neue Schönhauser Straße, Berlin;2021-08-18 08:00:00 +0200;Wednesday;158;13;partly-cloudy-day;
Neue Schönhauser Straße, Berlin;2021-08-18 09:00:00 +0200;Wednesday;258;15;partly-cloudy-day;
Neue Schönhauser Straße, Berlin;2021-08-18 10:00:00 +0200;Wednesday;359;16;partly-cloudy-day;
Neue Schönhauser Straße, Berlin;2021-08-18 11:00:00 +0200;Wednesday;527;18;cloudy;
Neue Schönhauser Straße, Berlin;2021-08-18 12:00:00 +0200;Wednesday;818;18;cloudy;
Neue Schönhauser Straße, Berlin;2021-08-18 13:00:00 +0200;Wednesday;981;19;partly-cloudy-day;
Neue Schönhauser Straße, Berlin;2021-08-18 14:00:00 +0200;Wednesday;954;20;cloudy;
Neue Schönhauser Straße, Berlin;2021-08-18 15:00:00 +0200;Wednesday;930;20;cloudy;
Neue Schönhauser Straße, Berlin;2021-08-18 16:00:00 +0200;Wednesday;1001;21;cloudy;
Neue Schönhauser Straße, Berlin;2021-08-18 17:00:00 +0200;Wednesday;989;20;partly-cloudy-day;
Neue Schönhauser Straße, Berlin;2021-08-18 18:00:00 +0200;Wednesday;906;21;partly-cloudy-day;
Neue Schönhauser Straße, Berlin;2021-08-18 19:00:00 +0200;Wednesday;651;20;partly-cloudy-day;
Neue Schönhauser Straße, Berlin;2021-08-18 20:00:00 +0200;Wednesday;383;20;partly-cloudy-day;
Neue Schönhauser Straße, Berlin;2021-08-18 21:00:00 +0200;Wednesday;221;19;partly-cloudy-night;
Neue Schönhauser Straße, Berlin;2021-08-18 22:00:00 +0200;Wednesday;191;18;partly-cloudy-night;
Neue Schönhauser Straße, Berlin;2021-08-18 23:00:00 +0200;Wednesday;81;18;partly-cloudy-night;
Neue Schönhauser Straße, Berlin;2021-08-19 00:00:00 +0200;Thursday;47;17;cloudy;
Neue Schönhauser Straße, Berlin;2021-08-19 01:00:00 +0200;Thursday;24;17;cloudy;
Neue Schönhauser Straße, Berlin;2021-08-19 02:00:00 +0200;Thursday;14;17;cloudy;
Neue Schönhauser Straße, Berlin;2021-08-19 03:00:00 +0200;Thursday;2;17;cloudy;
Neue Schönhauser Straße, Berlin;2021-08-19 04:00:00 +0200;Thursday;4;16;partly-cloudy-night;
Neue Schönhauser Straße, Berlin;2021-08-19 05:00:00 +0200;Thursday;11;16;partly-cloudy-night;
Neue Schönhauser Straße, Berlin;2021-08-19 06:00:00 +0200;Thursday;24;15;partly-cloudy-night;
Neue Schönhauser Straße, Berlin;2021-08-19 07:00:00 +0200;Thursday;105;15;partly-cloudy-day;
Neue Schönhauser Straße, Berlin;2021-08-19 08:00:00 +0200;Thursday;232;16;cloudy;
Neue Schönhauser Straße, Berlin;2021-08-19 09:00:00 +0200;Thursday;292;17;partly-cloudy-day;
Neue Schönhauser Straße, Berlin;2021-08-19 10:00:00 +0200;Thursday;377;18;partly-cloudy-day;
Neue Schönhauser Straße, Berlin;2021-08-19 11:00:00 +0200;Thursday;629;19;partly-cloudy-day;
Neue Schönhauser Straße, Berlin;2021-08-19 12:00:00 +0200;Thursday;877;20;cloudy;
Neue Schönhauser Straße, Berlin;2021-08-19 13:00:00 +0200;Thursday;939;21;cloudy;
Neue Schönhauser Straße, Berlin;2021-08-19 14:00:00 +0200;Thursday;933;21;partly-cloudy-day;
Neue Schönhauser Straße, Berlin;2021-08-19 15:00:00 +0200;Thursday;1001;20;cloudy;
Neue Schönhauser Straße, Berlin;2021-08-19 16:00:00 +0200;Thursday;1019;20;cloudy;
Neue Schönhauser Straße, Berlin;2021-08-19 17:00:00 +0200;Thursday;946;20;cloudy;
Neue Schönhauser Straße, Berlin;2021-08-19 18:00:00 +0200;Thursday;1004;20;cloudy;
Neue Schönhauser Straße, Berlin;2021-08-19 19:00:00 +0200;Thursday;650;19;cloudy;
Neue Schönhauser Straße, Berlin;2021-08-19 20:00:00 +0200;Thursday;331;19;cloudy;
Neue Schönhauser Straße, Berlin;2021-08-19 21:00:00 +0200;Thursday;242;19;cloudy;
Neue Schönhauser Straße, Berlin;2021-08-19 22:00:00 +0200;Thursday;183;18;cloudy;
Neue Schönhauser Straße, Berlin;2021-08-19 23:00:00 +0200;Thursday;107;17;partly-cloudy-night;
Neue Schönhauser Straße, Berlin;2021-08-20 00:00:00 +0200;Friday;52;17;partly-cloudy-night;
Neue Schönhauser Straße, Berlin;2021-08-20 01:00:00 +0200;Friday;20;17;partly-cloudy-night;
Neue Schönhauser Straße, Berlin;2021-08-20 02:00:00 +0200;Friday;16;17;cloudy;
Neue Schönhauser Straße, Berlin;2021-08-20 03:00:00 +0200;Friday;4;17;cloudy;
Neue Schönhauser Straße, Berlin;2021-08-20 04:00:00 +0200;Friday;10;17;cloudy;
Neue Schönhauser Straße, Berlin;2021-08-20 05:00:00 +0200;Friday;11;16;cloudy;
Neue Schönhauser Straße, Berlin;2021-08-20 06:00:00 +0200;Friday;39;16;cloudy;
Neue Schönhauser Straße, Berlin;2021-08-20 07:00:00 +0200;Friday;92;16;cloudy;
Neue Schönhauser Straße, Berlin;2021-08-20 08:00:00 +0200;Friday;207;17;rain;
Neue Schönhauser Straße, Berlin;2021-08-20 09:00:00 +0200;Friday;239;17;rain;
Neue Schönhauser Straße, Berlin;2021-08-20 10:00:00 +0200;Friday;379;18;rain;
Neue Schönhauser Straße, Berlin;2021-08-20 11:00:00 +0200;Friday;674;18;cloudy;
Neue Schönhauser Straße, Berlin;2021-08-20 12:00:00 +0200;Friday;1009;20;cloudy;
Neue Schönhauser Straße, Berlin;2021-08-20 13:00:00 +0200;Friday;1053;21;partly-cloudy-day;
Neue Schönhauser Straße, Berlin;2021-08-20 14:00:00 +0200;Friday;1097;21;partly-cloudy-day;
Neue Schönhauser Straße, Berlin;2021-08-20 15:00:00 +0200;Friday;1122;22;cloudy;
Neue Schönhauser Straße, Berlin;2021-08-20 16:00:00 +0200;Friday;1293;22;partly-cloudy-day;
Neue Schönhauser Straße, Berlin;2021-08-20 17:00:00 +0200;Friday;1201;21;partly-cloudy-day;
Neue Schönhauser Straße, Berlin;2021-08-20 18:00:00 +0200;Friday;1180;21;partly-cloudy-day;
Neue Schönhauser Straße, Berlin;2021-08-20 19:00:00 +0200;Friday;828;21;partly-cloudy-day;
Neue Schönhauser Straße, Berlin;2021-08-20 20:00:00 +0200;Friday;468;20;partly-cloudy-day;
