location;time of measurement;weekday;pedestrians count;temperature in ºc;weather condition;incidents
Prager Straße (Nord), Dresden;2019-07-29 00:00:00 +0200;Monday;107;22;cloudy;
Prager Straße (Nord), Dresden;2019-07-29 01:00:00 +0200;Monday;37;23;cloudy;
Prager Straße (Nord), Dresden;2019-07-29 02:00:00 +0200;Monday;16;21;partly-cloudy-night;
Prager Straße (Nord), Dresden;2019-07-29 03:00:00 +0200;Monday;23;20;cloudy;
Prager Straße (Nord), Dresden;2019-07-29 04:00:00 +0200;Monday;22;20;cloudy;
Prager Straße (Nord), Dresden;2019-07-29 05:00:00 +0200;Monday;52;20;cloudy;
Prager Straße (Nord), Dresden;2019-07-29 06:00:00 +0200;Monday;134;20;cloudy;
Prager Straße (Nord), Dresden;2019-07-29 07:00:00 +0200;Monday;356;22;partly-cloudy-day;
Prager Straße (Nord), Dresden;2019-07-29 08:00:00 +0200;Monday;569;23;partly-cloudy-day;
Prager Straße (Nord), Dresden;2019-07-29 09:00:00 +0200;Monday;1298;23;partly-cloudy-day;
Prager Straße (Nord), Dresden;2019-07-29 10:00:00 +0200;Monday;2256;24;partly-cloudy-day;
Prager Straße (Nord), Dresden;2019-07-29 11:00:00 +0200;Monday;3120;24;partly-cloudy-day;
Prager Straße (Nord), Dresden;2019-07-29 12:00:00 +0200;Monday;3422;25;partly-cloudy-day;
Prager Straße (Nord), Dresden;2019-07-29 13:00:00 +0200;Monday;3239;28;partly-cloudy-day;
Prager Straße (Nord), Dresden;2019-07-29 14:00:00 +0200;Monday;3172;28;partly-cloudy-day;
Prager Straße (Nord), Dresden;2019-07-29 15:00:00 +0200;Monday;3401;29;partly-cloudy-day;
Prager Straße (Nord), Dresden;2019-07-29 16:00:00 +0200;Monday;3692;31;partly-cloudy-day;
Prager Straße (Nord), Dresden;2019-07-29 17:00:00 +0200;Monday;3638;31;partly-cloudy-day;
Prager Straße (Nord), Dresden;2019-07-29 18:00:00 +0200;Monday;3348;30;partly-cloudy-day;
Prager Straße (Nord), Dresden;2019-07-29 19:00:00 +0200;Monday;2835;29;partly-cloudy-day;
Prager Straße (Nord), Dresden;2019-07-29 20:00:00 +0200;Monday;1922;28;partly-cloudy-day;
Prager Straße (Nord), Dresden;2019-07-29 21:00:00 +0200;Monday;907;27;partly-cloudy-night;
Prager Straße (Nord), Dresden;2019-07-29 22:00:00 +0200;Monday;560;25;partly-cloudy-night;
Prager Straße (Nord), Dresden;2019-07-29 23:00:00 +0200;Monday;232;24;partly-cloudy-night;
Prager Straße (Nord), Dresden;2019-07-30 00:00:00 +0200;Tuesday;106;23;partly-cloudy-night;
Prager Straße (Nord), Dresden;2019-07-30 01:00:00 +0200;Tuesday;64;22;partly-cloudy-night;
Prager Straße (Nord), Dresden;2019-07-30 02:00:00 +0200;Tuesday;26;21;clear-night;
Prager Straße (Nord), Dresden;2019-07-30 03:00:00 +0200;Tuesday;28;20;clear-night;
Prager Straße (Nord), Dresden;2019-07-30 04:00:00 +0200;Tuesday;20;19;partly-cloudy-night;
Prager Straße (Nord), Dresden;2019-07-30 05:00:00 +0200;Tuesday;58;20;partly-cloudy-night;
Prager Straße (Nord), Dresden;2019-07-30 06:00:00 +0200;Tuesday;137;20;partly-cloudy-day;
Prager Straße (Nord), Dresden;2019-07-30 07:00:00 +0200;Tuesday;354;21;partly-cloudy-day;
Prager Straße (Nord), Dresden;2019-07-30 08:00:00 +0200;Tuesday;590;22;partly-cloudy-day;
Prager Straße (Nord), Dresden;2019-07-30 09:00:00 +0200;Tuesday;1241;23;partly-cloudy-day;
Prager Straße (Nord), Dresden;2019-07-30 10:00:00 +0200;Tuesday;2087;24;partly-cloudy-day;
Prager Straße (Nord), Dresden;2019-07-30 11:00:00 +0200;Tuesday;2794;26;partly-cloudy-day;
Prager Straße (Nord), Dresden;2019-07-30 12:00:00 +0200;Tuesday;3255;26;partly-cloudy-day;
Prager Straße (Nord), Dresden;2019-07-30 13:00:00 +0200;Tuesday;3455;27;partly-cloudy-day;
Prager Straße (Nord), Dresden;2019-07-30 14:00:00 +0200;Tuesday;3568;27;partly-cloudy-day;
Prager Straße (Nord), Dresden;2019-07-30 15:00:00 +0200;Tuesday;3675;28;partly-cloudy-day;
Prager Straße (Nord), Dresden;2019-07-30 16:00:00 +0200;Tuesday;4229;28;partly-cloudy-day;
Prager Straße (Nord), Dresden;2019-07-30 17:00:00 +0200;Tuesday;3661;29;partly-cloudy-day;
Prager Straße (Nord), Dresden;2019-07-30 18:00:00 +0200;Tuesday;3563;28;partly-cloudy-day;
Prager Straße (Nord), Dresden;2019-07-30 19:00:00 +0200;Tuesday;2926;28;partly-cloudy-day;
Prager Straße (Nord), Dresden;2019-07-30 20:00:00 +0200;Tuesday;1746;27;partly-cloudy-day;
Prager Straße (Nord), Dresden;2019-07-30 21:00:00 +0200;Tuesday;1036;26;partly-cloudy-night;
Prager Straße (Nord), Dresden;2019-07-30 22:00:00 +0200;Tuesday;719;24;partly-cloudy-night;
Prager Straße (Nord), Dresden;2019-07-30 23:00:00 +0200;Tuesday;306;24;partly-cloudy-night;
Prager Straße (Nord), Dresden;2019-07-31 00:00:00 +0200;Wednesday;177;22;partly-cloudy-night;
Prager Straße (Nord), Dresden;2019-07-31 01:00:00 +0200;Wednesday;59;23;partly-cloudy-night;
Prager Straße (Nord), Dresden;2019-07-31 02:00:00 +0200;Wednesday;45;23;partly-cloudy-night;
Prager Straße (Nord), Dresden;2019-07-31 03:00:00 +0200;Wednesday;26;22;partly-cloudy-night;
Prager Straße (Nord), Dresden;2019-07-31 04:00:00 +0200;Wednesday;25;21;clear-night;
Prager Straße (Nord), Dresden;2019-07-31 05:00:00 +0200;Wednesday;72;20;clear-night;
Prager Straße (Nord), Dresden;2019-07-31 06:00:00 +0200;Wednesday;170;21;clear-day;
Prager Straße (Nord), Dresden;2019-07-31 07:00:00 +0200;Wednesday;393;21;clear-day;
Prager Straße (Nord), Dresden;2019-07-31 08:00:00 +0200;Wednesday;588;22;clear-day;
Prager Straße (Nord), Dresden;2019-07-31 09:00:00 +0200;Wednesday;1465;23;partly-cloudy-day;
Prager Straße (Nord), Dresden;2019-07-31 10:00:00 +0200;Wednesday;2212;23;partly-cloudy-day;
Prager Straße (Nord), Dresden;2019-07-31 11:00:00 +0200;Wednesday;3173;25;partly-cloudy-day;
Prager Straße (Nord), Dresden;2019-07-31 12:00:00 +0200;Wednesday;3341;24;partly-cloudy-day;
Prager Straße (Nord), Dresden;2019-07-31 13:00:00 +0200;Wednesday;3972;21;partly-cloudy-day;
Prager Straße (Nord), Dresden;2019-07-31 14:00:00 +0200;Wednesday;3856;22;partly-cloudy-day;
Prager Straße (Nord), Dresden;2019-07-31 15:00:00 +0200;Wednesday;4388;22;partly-cloudy-day;
Prager Straße (Nord), Dresden;2019-07-31 16:00:00 +0200;Wednesday;4525;22;partly-cloudy-day;
Prager Straße (Nord), Dresden;2019-07-31 17:00:00 +0200;Wednesday;4456;22;partly-cloudy-day;
Prager Straße (Nord), Dresden;2019-07-31 18:00:00 +0200;Wednesday;3876;23;partly-cloudy-day;
Prager Straße (Nord), Dresden;2019-07-31 19:00:00 +0200;Wednesday;2981;23;partly-cloudy-day;
Prager Straße (Nord), Dresden;2019-07-31 20:00:00 +0200;Wednesday;1167;19;partly-cloudy-day;
Prager Straße (Nord), Dresden;2019-07-31 21:00:00 +0200;Wednesday;857;18;partly-cloudy-night;
Prager Straße (Nord), Dresden;2019-07-31 22:00:00 +0200;Wednesday;647;17;partly-cloudy-night;
Prager Straße (Nord), Dresden;2019-07-31 23:00:00 +0200;Wednesday;233;17;clear-night;
Prager Straße (Nord), Dresden;2019-08-01 00:00:00 +0200;Thursday;129;16;clear-night;
Prager Straße (Nord), Dresden;2019-08-01 01:00:00 +0200;Thursday;99;16;clear-night;
Prager Straße (Nord), Dresden;2019-08-01 02:00:00 +0200;Thursday;36;16;clear-night;
Prager Straße (Nord), Dresden;2019-08-01 03:00:00 +0200;Thursday;39;16;clear-night;
Prager Straße (Nord), Dresden;2019-08-01 04:00:00 +0200;Thursday;36;16;clear-night;
Prager Straße (Nord), Dresden;2019-08-01 05:00:00 +0200;Thursday;55;16;partly-cloudy-night;
Prager Straße (Nord), Dresden;2019-08-01 06:00:00 +0200;Thursday;200;15;fog;
Prager Straße (Nord), Dresden;2019-08-01 07:00:00 +0200;Thursday;383;16;fog;
Prager Straße (Nord), Dresden;2019-08-01 08:00:00 +0200;Thursday;656;17;partly-cloudy-day;
Prager Straße (Nord), Dresden;2019-08-01 09:00:00 +0200;Thursday;1425;20;partly-cloudy-day;
Prager Straße (Nord), Dresden;2019-08-01 10:00:00 +0200;Thursday;2501;20;partly-cloudy-day;
Prager Straße (Nord), Dresden;2019-08-01 11:00:00 +0200;Thursday;3239;21;partly-cloudy-day;
Prager Straße (Nord), Dresden;2019-08-01 12:00:00 +0200;Thursday;3571;23;partly-cloudy-day;
Prager Straße (Nord), Dresden;2019-08-01 13:00:00 +0200;Thursday;3912;23;partly-cloudy-day;
Prager Straße (Nord), Dresden;2019-08-01 14:00:00 +0200;Thursday;3855;25;partly-cloudy-day;
Prager Straße (Nord), Dresden;2019-08-01 15:00:00 +0200;Thursday;4559;25;partly-cloudy-day;
Prager Straße (Nord), Dresden;2019-08-01 16:00:00 +0200;Thursday;4680;25;partly-cloudy-day;
Prager Straße (Nord), Dresden;2019-08-01 17:00:00 +0200;Thursday;4459;25;partly-cloudy-day;
Prager Straße (Nord), Dresden;2019-08-01 18:00:00 +0200;Thursday;3770;24;partly-cloudy-day;
Prager Straße (Nord), Dresden;2019-08-01 19:00:00 +0200;Thursday;3163;25;partly-cloudy-day;
Prager Straße (Nord), Dresden;2019-08-01 20:00:00 +0200;Thursday;1827;24;partly-cloudy-day;
Prager Straße (Nord), Dresden;2019-08-01 21:00:00 +0200;Thursday;1094;22;partly-cloudy-night;
Prager Straße (Nord), Dresden;2019-08-01 22:00:00 +0200;Thursday;805;21;partly-cloudy-night;
Prager Straße (Nord), Dresden;2019-08-01 23:00:00 +0200;Thursday;385;19;clear-night;
Prager Straße (Nord), Dresden;2019-08-02 00:00:00 +0200;Friday;186;19;clear-night;
Prager Straße (Nord), Dresden;2019-08-02 01:00:00 +0200;Friday;73;18;clear-night;
Prager Straße (Nord), Dresden;2019-08-02 02:00:00 +0200;Friday;31;17;clear-night;
Prager Straße (Nord), Dresden;2019-08-02 03:00:00 +0200;Friday;23;16;partly-cloudy-night;
Prager Straße (Nord), Dresden;2019-08-02 04:00:00 +0200;Friday;23;16;partly-cloudy-night;
Prager Straße (Nord), Dresden;2019-08-02 05:00:00 +0200;Friday;79;15;partly-cloudy-night;
Prager Straße (Nord), Dresden;2019-08-02 06:00:00 +0200;Friday;162;15;cloudy;
Prager Straße (Nord), Dresden;2019-08-02 07:00:00 +0200;Friday;325;16;cloudy;
Prager Straße (Nord), Dresden;2019-08-02 08:00:00 +0200;Friday;601;17;cloudy;
Prager Straße (Nord), Dresden;2019-08-02 09:00:00 +0200;Friday;1330;20;partly-cloudy-day;
Prager Straße (Nord), Dresden;2019-08-02 10:00:00 +0200;Friday;2334;21;partly-cloudy-day;
Prager Straße (Nord), Dresden;2019-08-02 11:00:00 +0200;Friday;3054;22;cloudy;
Prager Straße (Nord), Dresden;2019-08-02 12:00:00 +0200;Friday;3674;25;partly-cloudy-day;
Prager Straße (Nord), Dresden;2019-08-02 13:00:00 +0200;Friday;3803;24;partly-cloudy-day;
Prager Straße (Nord), Dresden;2019-08-02 14:00:00 +0200;Friday;4128;25;cloudy;
Prager Straße (Nord), Dresden;2019-08-02 15:00:00 +0200;Friday;4338;25;cloudy;
Prager Straße (Nord), Dresden;2019-08-02 16:00:00 +0200;Friday;4598;25;cloudy;
Prager Straße (Nord), Dresden;2019-08-02 17:00:00 +0200;Friday;4651;24;partly-cloudy-day;
Prager Straße (Nord), Dresden;2019-08-02 18:00:00 +0200;Friday;4303;24;partly-cloudy-day;
Prager Straße (Nord), Dresden;2019-08-02 19:00:00 +0200;Friday;3536;24;cloudy;
Prager Straße (Nord), Dresden;2019-08-02 20:00:00 +0200;Friday;2064;22;cloudy;
Prager Straße (Nord), Dresden;2019-08-02 21:00:00 +0200;Friday;1307;21;partly-cloudy-night;
Prager Straße (Nord), Dresden;2019-08-02 22:00:00 +0200;Friday;1153;21;partly-cloudy-night;
Prager Straße (Nord), Dresden;2019-08-02 23:00:00 +0200;Friday;1095;19;partly-cloudy-night;
Prager Straße (Nord), Dresden;2019-08-03 00:00:00 +0200;Saturday;494;18;partly-cloudy-night;
Prager Straße (Nord), Dresden;2019-08-03 01:00:00 +0200;Saturday;344;18;partly-cloudy-night;
Prager Straße (Nord), Dresden;2019-08-03 02:00:00 +0200;Saturday;141;17;partly-cloudy-night;
Prager Straße (Nord), Dresden;2019-08-03 03:00:00 +0200;Saturday;75;16;partly-cloudy-night;
Prager Straße (Nord), Dresden;2019-08-03 04:00:00 +0200;Saturday;14;15;cloudy;
Prager Straße (Nord), Dresden;2019-08-03 05:00:00 +0200;Saturday;46;15;cloudy;
Prager Straße (Nord), Dresden;2019-08-03 06:00:00 +0200;Saturday;73;15;cloudy;
Prager Straße (Nord), Dresden;2019-08-03 07:00:00 +0200;Saturday;158;16;partly-cloudy-day;
Prager Straße (Nord), Dresden;2019-08-03 08:00:00 +0200;Saturday;382;16;partly-cloudy-day;
Prager Straße (Nord), Dresden;2019-08-03 09:00:00 +0200;Saturday;321;16;partly-cloudy-day;
Prager Straße (Nord), Dresden;2019-08-03 10:00:00 +0200;Saturday;2395;16;partly-cloudy-day;
Prager Straße (Nord), Dresden;2019-08-03 11:00:00 +0200;Saturday;4367;17;partly-cloudy-day;
Prager Straße (Nord), Dresden;2019-08-03 12:00:00 +0200;Saturday;5024;18;partly-cloudy-day;
Prager Straße (Nord), Dresden;2019-08-03 13:00:00 +0200;Saturday;5861;20;partly-cloudy-day;
Prager Straße (Nord), Dresden;2019-08-03 14:00:00 +0200;Saturday;6234;22;partly-cloudy-day;
Prager Straße (Nord), Dresden;2019-08-03 15:00:00 +0200;Saturday;6663;22;partly-cloudy-day;
Prager Straße (Nord), Dresden;2019-08-03 16:00:00 +0200;Saturday;7063;22;partly-cloudy-day;
Prager Straße (Nord), Dresden;2019-08-03 17:00:00 +0200;Saturday;6340;23;partly-cloudy-day;
Prager Straße (Nord), Dresden;2019-08-03 18:00:00 +0200;Saturday;5517;23;partly-cloudy-day;
Prager Straße (Nord), Dresden;2019-08-03 19:00:00 +0200;Saturday;4470;24;partly-cloudy-day;
Prager Straße (Nord), Dresden;2019-08-03 20:00:00 +0200;Saturday;2466;22;partly-cloudy-day;
Prager Straße (Nord), Dresden;2019-08-03 21:00:00 +0200;Saturday;1396;20;partly-cloudy-night;
Prager Straße (Nord), Dresden;2019-08-03 22:00:00 +0200;Saturday;1169;19;partly-cloudy-night;
Prager Straße (Nord), Dresden;2019-08-03 23:00:00 +0200;Saturday;1214;17;partly-cloudy-night;
Prager Straße (Nord), Dresden;2019-08-04 00:00:00 +0200;Sunday;764;18;partly-cloudy-night;
Prager Straße (Nord), Dresden;2019-08-04 01:00:00 +0200;Sunday;405;17;partly-cloudy-night;
Prager Straße (Nord), Dresden;2019-08-04 02:00:00 +0200;Sunday;124;16;partly-cloudy-night;
Prager Straße (Nord), Dresden;2019-08-04 03:00:00 +0200;Sunday;65;15;clear-night;
Prager Straße (Nord), Dresden;2019-08-04 04:00:00 +0200;Sunday;43;16;clear-night;
Prager Straße (Nord), Dresden;2019-08-04 05:00:00 +0200;Sunday;29;15;clear-night;
Prager Straße (Nord), Dresden;2019-08-04 06:00:00 +0200;Sunday;74;14;clear-day;
Prager Straße (Nord), Dresden;2019-08-04 07:00:00 +0200;Sunday;111;15;clear-day;
Prager Straße (Nord), Dresden;2019-08-04 08:00:00 +0200;Sunday;290;17;clear-day;
Prager Straße (Nord), Dresden;2019-08-04 09:00:00 +0200;Sunday;677;18;clear-day;
Prager Straße (Nord), Dresden;2019-08-04 10:00:00 +0200;Sunday;1156;19;partly-cloudy-day;
Prager Straße (Nord), Dresden;2019-08-04 11:00:00 +0200;Sunday;1416;21;partly-cloudy-day;
Prager Straße (Nord), Dresden;2019-08-04 12:00:00 +0200;Sunday;1312;22;partly-cloudy-day;
Prager Straße (Nord), Dresden;2019-08-04 13:00:00 +0200;Sunday;1501;24;partly-cloudy-day;
Prager Straße (Nord), Dresden;2019-08-04 14:00:00 +0200;Sunday;1584;24;partly-cloudy-day;
Prager Straße (Nord), Dresden;2019-08-04 15:00:00 +0200;Sunday;1876;24;partly-cloudy-day;
Prager Straße (Nord), Dresden;2019-08-04 16:00:00 +0200;Sunday;1863;24;partly-cloudy-day;
Prager Straße (Nord), Dresden;2019-08-04 17:00:00 +0200;Sunday;1702;25;partly-cloudy-day;
Prager Straße (Nord), Dresden;2019-08-04 18:00:00 +0200;Sunday;1616;25;partly-cloudy-day;
Prager Straße (Nord), Dresden;2019-08-04 19:00:00 +0200;Sunday;1485;25;partly-cloudy-day;
Prager Straße (Nord), Dresden;2019-08-04 20:00:00 +0200;Sunday;1008;24;partly-cloudy-day;
Prager Straße (Nord), Dresden;2019-08-04 21:00:00 +0200;Sunday;804;22;partly-cloudy-night;
Prager Straße (Nord), Dresden;2019-08-04 22:00:00 +0200;Sunday;425;21;clear-night;
Prager Straße (Nord), Dresden;2019-08-04 23:00:00 +0200;Sunday;250;20;clear-night;
Prager Straße (Nord), Dresden;2019-08-05 00:00:00 +0200;Monday;97;20;clear-night;
Prager Straße (Nord), Dresden;2019-08-05 01:00:00 +0200;Monday;47;18;clear-night;
Prager Straße (Nord), Dresden;2019-08-05 02:00:00 +0200;Monday;25;16;clear-night;
Prager Straße (Nord), Dresden;2019-08-05 03:00:00 +0200;Monday;23;17;partly-cloudy-night;
Prager Straße (Nord), Dresden;2019-08-05 04:00:00 +0200;Monday;25;15;partly-cloudy-night;
Prager Straße (Nord), Dresden;2019-08-05 05:00:00 +0200;Monday;68;14;partly-cloudy-night;
Prager Straße (Nord), Dresden;2019-08-05 06:00:00 +0200;Monday;157;14;partly-cloudy-day;
Prager Straße (Nord), Dresden;2019-08-05 07:00:00 +0200;Monday;334;15;partly-cloudy-day;
Prager Straße (Nord), Dresden;2019-08-05 08:00:00 +0200;Monday;676;16;partly-cloudy-day;
Prager Straße (Nord), Dresden;2019-08-05 09:00:00 +0200;Monday;1388;20;cloudy;
Prager Straße (Nord), Dresden;2019-08-05 10:00:00 +0200;Monday;2352;23;cloudy;
Prager Straße (Nord), Dresden;2019-08-05 11:00:00 +0200;Monday;3027;24;cloudy;
Prager Straße (Nord), Dresden;2019-08-05 12:00:00 +0200;Monday;3513;26;cloudy;
Prager Straße (Nord), Dresden;2019-08-05 13:00:00 +0200;Monday;3811;27;partly-cloudy-day;
Prager Straße (Nord), Dresden;2019-08-05 14:00:00 +0200;Monday;3828;22;partly-cloudy-day;
Prager Straße (Nord), Dresden;2019-08-05 15:00:00 +0200;Monday;4020;24;partly-cloudy-day;
Prager Straße (Nord), Dresden;2019-08-05 16:00:00 +0200;Monday;4006;24;partly-cloudy-day;
Prager Straße (Nord), Dresden;2019-08-05 17:00:00 +0200;Monday;4111;24;cloudy;
Prager Straße (Nord), Dresden;2019-08-05 18:00:00 +0200;Monday;3562;25;cloudy;
Prager Straße (Nord), Dresden;2019-08-05 19:00:00 +0200;Monday;2828;24;cloudy;
Prager Straße (Nord), Dresden;2019-08-05 20:00:00 +0200;Monday;1882;24;cloudy;
Prager Straße (Nord), Dresden;2019-08-05 21:00:00 +0200;Monday;958;22;cloudy;
Prager Straße (Nord), Dresden;2019-08-05 22:00:00 +0200;Monday;639;22;cloudy;
Prager Straße (Nord), Dresden;2019-08-05 23:00:00 +0200;Monday;228;21;cloudy;
Prager Straße (Nord), Dresden;2019-08-06 00:00:00 +0200;Tuesday;114;21;cloudy;
Prager Straße (Nord), Dresden;2019-08-06 01:00:00 +0200;Tuesday;65;21;cloudy;
Prager Straße (Nord), Dresden;2019-08-06 02:00:00 +0200;Tuesday;28;20;cloudy;
Prager Straße (Nord), Dresden;2019-08-06 03:00:00 +0200;Tuesday;26;19;partly-cloudy-night;
Prager Straße (Nord), Dresden;2019-08-06 04:00:00 +0200;Tuesday;27;19;partly-cloudy-night;
Prager Straße (Nord), Dresden;2019-08-06 05:00:00 +0200;Tuesday;64;19;partly-cloudy-night;
Prager Straße (Nord), Dresden;2019-08-06 06:00:00 +0200;Tuesday;167;18;partly-cloudy-day;
Prager Straße (Nord), Dresden;2019-08-06 07:00:00 +0200;Tuesday;323;18;partly-cloudy-day;
Prager Straße (Nord), Dresden;2019-08-06 08:00:00 +0200;Tuesday;619;21;partly-cloudy-day;
Prager Straße (Nord), Dresden;2019-08-06 09:00:00 +0200;Tuesday;1521;22;partly-cloudy-day;
Prager Straße (Nord), Dresden;2019-08-06 10:00:00 +0200;Tuesday;2265;23;partly-cloudy-day;
Prager Straße (Nord), Dresden;2019-08-06 11:00:00 +0200;Tuesday;3165;25;partly-cloudy-day;
Prager Straße (Nord), Dresden;2019-08-06 12:00:00 +0200;Tuesday;3457;27;partly-cloudy-day;
Prager Straße (Nord), Dresden;2019-08-06 13:00:00 +0200;Tuesday;3524;28;partly-cloudy-day;
Prager Straße (Nord), Dresden;2019-08-06 14:00:00 +0200;Tuesday;3580;27;cloudy;
Prager Straße (Nord), Dresden;2019-08-06 15:00:00 +0200;Tuesday;4051;28;cloudy;
Prager Straße (Nord), Dresden;2019-08-06 16:00:00 +0200;Tuesday;4348;24;partly-cloudy-day;
Prager Straße (Nord), Dresden;2019-08-06 17:00:00 +0200;Tuesday;4025;27;partly-cloudy-day;
Prager Straße (Nord), Dresden;2019-08-06 18:00:00 +0200;Tuesday;3679;26;cloudy;
Prager Straße (Nord), Dresden;2019-08-06 19:00:00 +0200;Tuesday;3077;25;cloudy;
Prager Straße (Nord), Dresden;2019-08-06 20:00:00 +0200;Tuesday;1788;25;cloudy;
Prager Straße (Nord), Dresden;2019-08-06 21:00:00 +0200;Tuesday;1012;24;partly-cloudy-night;
Prager Straße (Nord), Dresden;2019-08-06 22:00:00 +0200;Tuesday;641;23;partly-cloudy-night;
Prager Straße (Nord), Dresden;2019-08-06 23:00:00 +0200;Tuesday;343;22;partly-cloudy-night;
Prager Straße (Nord), Dresden;2019-08-07 00:00:00 +0200;Wednesday;109;21;partly-cloudy-night;
Prager Straße (Nord), Dresden;2019-08-07 01:00:00 +0200;Wednesday;65;20;partly-cloudy-night;
Prager Straße (Nord), Dresden;2019-08-07 02:00:00 +0200;Wednesday;44;19;partly-cloudy-night;
Prager Straße (Nord), Dresden;2019-08-07 03:00:00 +0200;Wednesday;8;19;partly-cloudy-night;
