location;time of measurement;weekday;pedestrians count;temperature in ºc;weather condition;incidents
Königsallee Ostseite (Süd), Düsseldorf;2018-05-01 00:00:00 +0200;Tuesday;0;8;partly-cloudy-night;
Königsallee Ostseite (Süd), Düsseldorf;2018-05-01 01:00:00 +0200;Tuesday;0;7;partly-cloudy-night;
Königsallee Ostseite (Süd), Düsseldorf;2018-05-01 02:00:00 +0200;Tuesday;138;7;rain;
Königsallee Ostseite (Süd), Düsseldorf;2018-05-01 03:00:00 +0200;Tuesday;165;6;rain;
Königsallee Ostseite (Süd), Düsseldorf;2018-05-01 04:00:00 +0200;Tuesday;200;6;rain;
Königsallee Ostseite (Süd), Düsseldorf;2018-05-01 05:00:00 +0200;Tuesday;67;6;partly-cloudy-night;
Königsallee Ostseite (Süd), Düsseldorf;2018-05-01 06:00:00 +0200;Tuesday;30;6;partly-cloudy-night;
Königsallee Ostseite (Süd), Düsseldorf;2018-05-01 07:00:00 +0200;Tuesday;15;6;partly-cloudy-day;
Königsallee Ostseite (Süd), Düsseldorf;2018-05-01 08:00:00 +0200;Tuesday;25;7;partly-cloudy-day;
Königsallee Ostseite (Süd), Düsseldorf;2018-05-01 09:00:00 +0200;Tuesday;76;7;partly-cloudy-day;
Königsallee Ostseite (Süd), Düsseldorf;2018-05-01 10:00:00 +0200;Tuesday;147;8;partly-cloudy-day;
Königsallee Ostseite (Süd), Düsseldorf;2018-05-01 11:00:00 +0200;Tuesday;332;10;partly-cloudy-day;
Königsallee Ostseite (Süd), Düsseldorf;2018-05-01 12:00:00 +0200;Tuesday;468;10;partly-cloudy-day;
Königsallee Ostseite (Süd), Düsseldorf;2018-05-01 13:00:00 +0200;Tuesday;615;11;partly-cloudy-day;
Königsallee Ostseite (Süd), Düsseldorf;2018-05-01 14:00:00 +0200;Tuesday;772;12;partly-cloudy-day;
Königsallee Ostseite (Süd), Düsseldorf;2018-05-01 15:00:00 +0200;Tuesday;819;13;partly-cloudy-day;
Königsallee Ostseite (Süd), Düsseldorf;2018-05-01 16:00:00 +0200;Tuesday;891;14;partly-cloudy-day;
Königsallee Ostseite (Süd), Düsseldorf;2018-05-01 17:00:00 +0200;Tuesday;792;13;partly-cloudy-day;
Königsallee Ostseite (Süd), Düsseldorf;2018-05-01 18:00:00 +0200;Tuesday;669;14;partly-cloudy-day;
Königsallee Ostseite (Süd), Düsseldorf;2018-05-01 19:00:00 +0200;Tuesday;362;14;partly-cloudy-day;
Königsallee Ostseite (Süd), Düsseldorf;2018-05-01 20:00:00 +0200;Tuesday;204;13;partly-cloudy-day;
Königsallee Ostseite (Süd), Düsseldorf;2018-05-01 21:00:00 +0200;Tuesday;131;11;partly-cloudy-night;
Königsallee Ostseite (Süd), Düsseldorf;2018-05-01 22:00:00 +0200;Tuesday;84;10;partly-cloudy-night;
