location;time of measurement;weekday;pedestrians count;temperature in ºc;weather condition;incidents
Marktstraße, Erfurt;2022-07-21 00:00:00 +0200;Thursday;0;27;partly-cloudy-night;
Marktstraße, Erfurt;2022-07-21 01:00:00 +0200;Thursday;0;24;partly-cloudy-night;
Marktstraße, Erfurt;2022-07-21 02:00:00 +0200;Thursday;0;23;partly-cloudy-night;
Marktstraße, Erfurt;2022-07-21 03:00:00 +0200;Thursday;0;22;partly-cloudy-night;
Marktstraße, Erfurt;2022-07-21 04:00:00 +0200;Thursday;0;21;partly-cloudy-night;
Marktstraße, Erfurt;2022-07-21 05:00:00 +0200;Thursday;0;21;partly-cloudy-night;
Marktstraße, Erfurt;2022-07-21 06:00:00 +0200;Thursday;0;21;partly-cloudy-day;
Marktstraße, Erfurt;2022-07-21 07:00:00 +0200;Thursday;0;21;partly-cloudy-day;
Marktstraße, Erfurt;2022-07-21 08:00:00 +0200;Thursday;0;22;partly-cloudy-day;
Marktstraße, Erfurt;2022-07-21 09:00:00 +0200;Thursday;0;23;partly-cloudy-day;
Marktstraße, Erfurt;2022-07-21 10:00:00 +0200;Thursday;0;25;partly-cloudy-day;
Marktstraße, Erfurt;2022-07-21 11:00:00 +0200;Thursday;0;26;partly-cloudy-day;
Marktstraße, Erfurt;2022-07-21 12:00:00 +0200;Thursday;0;27;partly-cloudy-day;
Marktstraße, Erfurt;2022-07-21 13:00:00 +0200;Thursday;0;28;partly-cloudy-day;
Marktstraße, Erfurt;2022-07-21 14:00:00 +0200;Thursday;0;29;partly-cloudy-day;
Marktstraße, Erfurt;2022-07-21 15:00:00 +0200;Thursday;1130;29;partly-cloudy-day;
Marktstraße, Erfurt;2022-07-21 16:00:00 +0200;Thursday;1410;29;partly-cloudy-day;
Marktstraße, Erfurt;2022-07-21 17:00:00 +0200;Thursday;1339;28;partly-cloudy-day;
Marktstraße, Erfurt;2022-07-21 18:00:00 +0200;Thursday;1184;28;partly-cloudy-day;
Marktstraße, Erfurt;2022-07-21 19:00:00 +0200;Thursday;1240;27;partly-cloudy-day;
Marktstraße, Erfurt;2022-07-21 20:00:00 +0200;Thursday;795;26;partly-cloudy-day;
Marktstraße, Erfurt;2022-07-21 21:00:00 +0200;Thursday;606;25;partly-cloudy-day;
Marktstraße, Erfurt;2022-07-21 22:00:00 +0200;Thursday;485;23;partly-cloudy-night;
Marktstraße, Erfurt;2022-07-21 23:00:00 +0200;Thursday;510;21;partly-cloudy-night;
Marktstraße, Erfurt;2022-07-22 00:00:00 +0200;Friday;119;20;partly-cloudy-night;
Marktstraße, Erfurt;2022-07-22 01:00:00 +0200;Friday;35;19;clear-night;
Marktstraße, Erfurt;2022-07-22 02:00:00 +0200;Friday;14;19;clear-night;
Marktstraße, Erfurt;2022-07-22 03:00:00 +0200;Friday;12;17;clear-night;
Marktstraße, Erfurt;2022-07-22 04:00:00 +0200;Friday;12;17;clear-night;
Marktstraße, Erfurt;2022-07-22 05:00:00 +0200;Friday;30;17;partly-cloudy-night;
Marktstraße, Erfurt;2022-07-22 06:00:00 +0200;Friday;60;17;partly-cloudy-day;
Marktstraße, Erfurt;2022-07-22 07:00:00 +0200;Friday;155;18;partly-cloudy-day;
Marktstraße, Erfurt;2022-07-22 08:00:00 +0200;Friday;215;19;partly-cloudy-day;
Marktstraße, Erfurt;2022-07-22 09:00:00 +0200;Friday;456;20;partly-cloudy-day;
Marktstraße, Erfurt;2022-07-22 10:00:00 +0200;Friday;826;21;partly-cloudy-day;
Marktstraße, Erfurt;2022-07-22 11:00:00 +0200;Friday;1294;23;partly-cloudy-day;
Marktstraße, Erfurt;2022-07-22 12:00:00 +0200;Friday;1351;25;partly-cloudy-day;
Marktstraße, Erfurt;2022-07-22 13:00:00 +0200;Friday;1364;26;partly-cloudy-day;
Marktstraße, Erfurt;2022-07-22 14:00:00 +0200;Friday;1380;26;partly-cloudy-day;
Marktstraße, Erfurt;2022-07-22 15:00:00 +0200;Friday;1302;27;partly-cloudy-day;
Marktstraße, Erfurt;2022-07-22 16:00:00 +0200;Friday;1271;28;clear-day;
Marktstraße, Erfurt;2022-07-22 17:00:00 +0200;Friday;1365;29;partly-cloudy-day;
Marktstraße, Erfurt;2022-07-22 18:00:00 +0200;Friday;1381;29;partly-cloudy-day;
Marktstraße, Erfurt;2022-07-22 19:00:00 +0200;Friday;1141;28;partly-cloudy-day;
Marktstraße, Erfurt;2022-07-22 20:00:00 +0200;Friday;1094;26;partly-cloudy-day;
Marktstraße, Erfurt;2022-07-22 21:00:00 +0200;Friday;918;24;partly-cloudy-day;
Marktstraße, Erfurt;2022-07-22 22:00:00 +0200;Friday;772;21;partly-cloudy-night;
Marktstraße, Erfurt;2022-07-22 23:00:00 +0200;Friday;726;19;partly-cloudy-night;
Marktstraße, Erfurt;2022-07-23 00:00:00 +0200;Saturday;251;18;partly-cloudy-night;
Marktstraße, Erfurt;2022-07-23 01:00:00 +0200;Saturday;87;17;partly-cloudy-night;
Marktstraße, Erfurt;2022-07-23 02:00:00 +0200;Saturday;49;17;partly-cloudy-night;
Marktstraße, Erfurt;2022-07-23 03:00:00 +0200;Saturday;56;17;partly-cloudy-night;
Marktstraße, Erfurt;2022-07-23 04:00:00 +0200;Saturday;31;16;partly-cloudy-night;
Marktstraße, Erfurt;2022-07-23 05:00:00 +0200;Saturday;5;16;rain;
Marktstraße, Erfurt;2022-07-23 06:00:00 +0200;Saturday;15;16;rain;
Marktstraße, Erfurt;2022-07-23 07:00:00 +0200;Saturday;42;16;rain;
Marktstraße, Erfurt;2022-07-23 08:00:00 +0200;Saturday;158;17;partly-cloudy-day;
Marktstraße, Erfurt;2022-07-23 09:00:00 +0200;Saturday;474;18;cloudy;
Marktstraße, Erfurt;2022-07-23 10:00:00 +0200;Saturday;1097;19;cloudy;
Marktstraße, Erfurt;2022-07-23 11:00:00 +0200;Saturday;1504;20;cloudy;
Marktstraße, Erfurt;2022-07-23 12:00:00 +0200;Saturday;1843;22;cloudy;
Marktstraße, Erfurt;2022-07-23 13:00:00 +0200;Saturday;2144;23;partly-cloudy-day;
Marktstraße, Erfurt;2022-07-23 14:00:00 +0200;Saturday;2118;23;partly-cloudy-day;
Marktstraße, Erfurt;2022-07-23 15:00:00 +0200;Saturday;2138;25;partly-cloudy-day;
Marktstraße, Erfurt;2022-07-23 16:00:00 +0200;Saturday;2044;26;partly-cloudy-day;
Marktstraße, Erfurt;2022-07-23 17:00:00 +0200;Saturday;1837;27;partly-cloudy-day;
Marktstraße, Erfurt;2022-07-23 18:00:00 +0200;Saturday;1514;27;partly-cloudy-day;
Marktstraße, Erfurt;2022-07-23 19:00:00 +0200;Saturday;1702;26;partly-cloudy-day;
Marktstraße, Erfurt;2022-07-23 20:00:00 +0200;Saturday;1301;25;clear-day;
Marktstraße, Erfurt;2022-07-23 21:00:00 +0200;Saturday;927;23;clear-day;
Marktstraße, Erfurt;2022-07-23 22:00:00 +0200;Saturday;920;20;clear-night;
Marktstraße, Erfurt;2022-07-23 23:00:00 +0200;Saturday;1125;19;clear-night;
Marktstraße, Erfurt;2022-07-24 00:00:00 +0200;Sunday;385;17;partly-cloudy-night;
Marktstraße, Erfurt;2022-07-24 01:00:00 +0200;Sunday;187;16;partly-cloudy-night;
Marktstraße, Erfurt;2022-07-24 02:00:00 +0200;Sunday;72;15;clear-night;
Marktstraße, Erfurt;2022-07-24 03:00:00 +0200;Sunday;61;14;clear-night;
Marktstraße, Erfurt;2022-07-24 04:00:00 +0200;Sunday;33;13;clear-night;
Marktstraße, Erfurt;2022-07-24 05:00:00 +0200;Sunday;12;13;clear-night;
