location;time of measurement;weekday;pedestrians count;temperature in ºc;weather condition;incidents
Zeil (Mitte), Frankfurt a.M.;2019-07-01 00:00:00 +0200;Monday;444;27;clear-night;
Zeil (Mitte), Frankfurt a.M.;2019-07-01 01:00:00 +0200;Monday;214;25;partly-cloudy-night;
Zeil (Mitte), Frankfurt a.M.;2019-07-01 02:00:00 +0200;Monday;171;25;partly-cloudy-night;
Zeil (Mitte), Frankfurt a.M.;2019-07-01 03:00:00 +0200;Monday;65;24;partly-cloudy-night;
Zeil (Mitte), Frankfurt a.M.;2019-07-01 04:00:00 +0200;Monday;57;21;partly-cloudy-night;
Zeil (Mitte), Frankfurt a.M.;2019-07-01 05:00:00 +0200;Monday;140;21;partly-cloudy-night;
Zeil (Mitte), Frankfurt a.M.;2019-07-01 06:00:00 +0200;Monday;405;21;partly-cloudy-day;
Zeil (Mitte), Frankfurt a.M.;2019-07-01 07:00:00 +0200;Monday;846;22;partly-cloudy-day;
Zeil (Mitte), Frankfurt a.M.;2019-07-01 08:00:00 +0200;Monday;1448;23;partly-cloudy-day;
Zeil (Mitte), Frankfurt a.M.;2019-07-01 09:00:00 +0200;Monday;2134;23;partly-cloudy-day;
Zeil (Mitte), Frankfurt a.M.;2019-07-01 10:00:00 +0200;Monday;3222;25;partly-cloudy-day;
Zeil (Mitte), Frankfurt a.M.;2019-07-01 11:00:00 +0200;Monday;4524;26;partly-cloudy-day;
Zeil (Mitte), Frankfurt a.M.;2019-07-01 12:00:00 +0200;Monday;5285;27;partly-cloudy-day;
Zeil (Mitte), Frankfurt a.M.;2019-07-01 13:00:00 +0200;Monday;5500;27;partly-cloudy-day;
Zeil (Mitte), Frankfurt a.M.;2019-07-01 14:00:00 +0200;Monday;5568;27;partly-cloudy-day;
Zeil (Mitte), Frankfurt a.M.;2019-07-01 15:00:00 +0200;Monday;6132;28;partly-cloudy-day;
Zeil (Mitte), Frankfurt a.M.;2019-07-01 16:00:00 +0200;Monday;5996;28;partly-cloudy-day;
Zeil (Mitte), Frankfurt a.M.;2019-07-01 17:00:00 +0200;Monday;6295;29;partly-cloudy-day;
Zeil (Mitte), Frankfurt a.M.;2019-07-01 18:00:00 +0200;Monday;5863;28;partly-cloudy-day;
Zeil (Mitte), Frankfurt a.M.;2019-07-01 19:00:00 +0200;Monday;5457;28;clear-day;
Zeil (Mitte), Frankfurt a.M.;2019-07-01 20:00:00 +0200;Monday;3516;26;clear-day;
Zeil (Mitte), Frankfurt a.M.;2019-07-01 21:00:00 +0200;Monday;1889;24;partly-cloudy-day;
Zeil (Mitte), Frankfurt a.M.;2019-07-01 22:00:00 +0200;Monday;1346;22;partly-cloudy-night;
Zeil (Mitte), Frankfurt a.M.;2019-07-01 23:00:00 +0200;Monday;686;21;partly-cloudy-night;
Zeil (Mitte), Frankfurt a.M.;2019-07-02 00:00:00 +0200;Tuesday;331;21;partly-cloudy-night;
Zeil (Mitte), Frankfurt a.M.;2019-07-02 01:00:00 +0200;Tuesday;171;19;clear-night;
Zeil (Mitte), Frankfurt a.M.;2019-07-02 02:00:00 +0200;Tuesday;112;19;clear-night;
Zeil (Mitte), Frankfurt a.M.;2019-07-02 03:00:00 +0200;Tuesday;39;17;clear-night;
Zeil (Mitte), Frankfurt a.M.;2019-07-02 04:00:00 +0200;Tuesday;41;15;clear-night;
Zeil (Mitte), Frankfurt a.M.;2019-07-02 05:00:00 +0200;Tuesday;108;13;clear-night;
Zeil (Mitte), Frankfurt a.M.;2019-07-02 06:00:00 +0200;Tuesday;250;13;clear-day;
Zeil (Mitte), Frankfurt a.M.;2019-07-02 07:00:00 +0200;Tuesday;737;16;clear-day;
Zeil (Mitte), Frankfurt a.M.;2019-07-02 08:00:00 +0200;Tuesday;1554;17;clear-day;
Zeil (Mitte), Frankfurt a.M.;2019-07-02 09:00:00 +0200;Tuesday;1973;19;clear-day;
Zeil (Mitte), Frankfurt a.M.;2019-07-02 10:00:00 +0200;Tuesday;3025;20;partly-cloudy-day;
Zeil (Mitte), Frankfurt a.M.;2019-07-02 11:00:00 +0200;Tuesday;4181;21;clear-day;
Zeil (Mitte), Frankfurt a.M.;2019-07-02 12:00:00 +0200;Tuesday;5081;22;clear-day;
Zeil (Mitte), Frankfurt a.M.;2019-07-02 13:00:00 +0200;Tuesday;5450;23;clear-day;
Zeil (Mitte), Frankfurt a.M.;2019-07-02 14:00:00 +0200;Tuesday;5620;23;partly-cloudy-day;
Zeil (Mitte), Frankfurt a.M.;2019-07-02 15:00:00 +0200;Tuesday;5847;23;clear-day;
Zeil (Mitte), Frankfurt a.M.;2019-07-02 16:00:00 +0200;Tuesday;6063;24;clear-day;
Zeil (Mitte), Frankfurt a.M.;2019-07-02 17:00:00 +0200;Tuesday;6262;25;clear-day;
Zeil (Mitte), Frankfurt a.M.;2019-07-02 18:00:00 +0200;Tuesday;6418;25;clear-day;
Zeil (Mitte), Frankfurt a.M.;2019-07-02 19:00:00 +0200;Tuesday;5808;25;clear-day;
Zeil (Mitte), Frankfurt a.M.;2019-07-02 20:00:00 +0200;Tuesday;3711;24;clear-day;
Zeil (Mitte), Frankfurt a.M.;2019-07-02 21:00:00 +0200;Tuesday;1933;22;clear-day;
Zeil (Mitte), Frankfurt a.M.;2019-07-02 22:00:00 +0200;Tuesday;1459;21;clear-night;
Zeil (Mitte), Frankfurt a.M.;2019-07-02 23:00:00 +0200;Tuesday;801;20;partly-cloudy-night;
Zeil (Mitte), Frankfurt a.M.;2019-07-03 00:00:00 +0200;Wednesday;370;18;clear-night;
Zeil (Mitte), Frankfurt a.M.;2019-07-03 01:00:00 +0200;Wednesday;180;17;clear-night;
Zeil (Mitte), Frankfurt a.M.;2019-07-03 02:00:00 +0200;Wednesday;98;16;clear-night;
Zeil (Mitte), Frankfurt a.M.;2019-07-03 03:00:00 +0200;Wednesday;39;16;clear-night;
Zeil (Mitte), Frankfurt a.M.;2019-07-03 04:00:00 +0200;Wednesday;41;14;clear-night;
Zeil (Mitte), Frankfurt a.M.;2019-07-03 05:00:00 +0200;Wednesday;148;14;clear-night;
Zeil (Mitte), Frankfurt a.M.;2019-07-03 06:00:00 +0200;Wednesday;365;14;clear-day;
Zeil (Mitte), Frankfurt a.M.;2019-07-03 07:00:00 +0200;Wednesday;723;14;clear-day;
Zeil (Mitte), Frankfurt a.M.;2019-07-03 08:00:00 +0200;Wednesday;1329;17;clear-day;
Zeil (Mitte), Frankfurt a.M.;2019-07-03 09:00:00 +0200;Wednesday;1972;19;clear-day;
Zeil (Mitte), Frankfurt a.M.;2019-07-03 10:00:00 +0200;Wednesday;3000;21;clear-day;
Zeil (Mitte), Frankfurt a.M.;2019-07-03 11:00:00 +0200;Wednesday;4000;22;clear-day;
Zeil (Mitte), Frankfurt a.M.;2019-07-03 12:00:00 +0200;Wednesday;4864;22;clear-day;
Zeil (Mitte), Frankfurt a.M.;2019-07-03 13:00:00 +0200;Wednesday;5111;22;clear-day;
Zeil (Mitte), Frankfurt a.M.;2019-07-03 14:00:00 +0200;Wednesday;5202;24;clear-day;
Zeil (Mitte), Frankfurt a.M.;2019-07-03 15:00:00 +0200;Wednesday;5518;25;clear-day;
Zeil (Mitte), Frankfurt a.M.;2019-07-03 16:00:00 +0200;Wednesday;5851;25;clear-day;
Zeil (Mitte), Frankfurt a.M.;2019-07-03 17:00:00 +0200;Wednesday;6105;25;clear-day;
Zeil (Mitte), Frankfurt a.M.;2019-07-03 18:00:00 +0200;Wednesday;6164;25;clear-day;
Zeil (Mitte), Frankfurt a.M.;2019-07-03 19:00:00 +0200;Wednesday;5644;25;clear-day;
Zeil (Mitte), Frankfurt a.M.;2019-07-03 20:00:00 +0200;Wednesday;3545;24;clear-day;
Zeil (Mitte), Frankfurt a.M.;2019-07-03 21:00:00 +0200;Wednesday;1962;22;partly-cloudy-day;
Zeil (Mitte), Frankfurt a.M.;2019-07-03 22:00:00 +0200;Wednesday;1264;20;clear-night;
Zeil (Mitte), Frankfurt a.M.;2019-07-03 23:00:00 +0200;Wednesday;757;19;clear-night;
Zeil (Mitte), Frankfurt a.M.;2019-07-04 00:00:00 +0200;Thursday;351;17;clear-night;
Zeil (Mitte), Frankfurt a.M.;2019-07-04 01:00:00 +0200;Thursday;139;16;clear-night;
Zeil (Mitte), Frankfurt a.M.;2019-07-04 02:00:00 +0200;Thursday;86;15;clear-night;
Zeil (Mitte), Frankfurt a.M.;2019-07-04 03:00:00 +0200;Thursday;32;14;clear-night;
Zeil (Mitte), Frankfurt a.M.;2019-07-04 04:00:00 +0200;Thursday;35;14;clear-night;
Zeil (Mitte), Frankfurt a.M.;2019-07-04 05:00:00 +0200;Thursday;112;13;clear-night;
Zeil (Mitte), Frankfurt a.M.;2019-07-04 06:00:00 +0200;Thursday;309;12;clear-day;
Zeil (Mitte), Frankfurt a.M.;2019-07-04 07:00:00 +0200;Thursday;653;13;clear-day;
Zeil (Mitte), Frankfurt a.M.;2019-07-04 08:00:00 +0200;Thursday;1436;15;clear-day;
Zeil (Mitte), Frankfurt a.M.;2019-07-04 09:00:00 +0200;Thursday;2041;17;clear-day;
Zeil (Mitte), Frankfurt a.M.;2019-07-04 10:00:00 +0200;Thursday;3116;19;clear-day;
Zeil (Mitte), Frankfurt a.M.;2019-07-04 11:00:00 +0200;Thursday;4284;21;clear-day;
Zeil (Mitte), Frankfurt a.M.;2019-07-04 12:00:00 +0200;Thursday;5603;21;clear-day;
Zeil (Mitte), Frankfurt a.M.;2019-07-04 13:00:00 +0200;Thursday;5723;23;clear-day;
Zeil (Mitte), Frankfurt a.M.;2019-07-04 14:00:00 +0200;Thursday;5900;24;clear-day;
Zeil (Mitte), Frankfurt a.M.;2019-07-04 15:00:00 +0200;Thursday;5957;24;clear-day;
Zeil (Mitte), Frankfurt a.M.;2019-07-04 16:00:00 +0200;Thursday;6100;24;clear-day;
Zeil (Mitte), Frankfurt a.M.;2019-07-04 17:00:00 +0200;Thursday;6150;26;clear-day;
Zeil (Mitte), Frankfurt a.M.;2019-07-04 18:00:00 +0200;Thursday;6820;26;clear-day;
Zeil (Mitte), Frankfurt a.M.;2019-07-04 19:00:00 +0200;Thursday;6089;27;clear-day;
Zeil (Mitte), Frankfurt a.M.;2019-07-04 20:00:00 +0200;Thursday;4058;26;clear-day;
Zeil (Mitte), Frankfurt a.M.;2019-07-04 21:00:00 +0200;Thursday;2325;24;clear-day;
Zeil (Mitte), Frankfurt a.M.;2019-07-04 22:00:00 +0200;Thursday;1826;20;clear-night;
Zeil (Mitte), Frankfurt a.M.;2019-07-04 23:00:00 +0200;Thursday;1273;19;clear-night;
Zeil (Mitte), Frankfurt a.M.;2019-07-05 00:00:00 +0200;Friday;701;17;clear-night;
Zeil (Mitte), Frankfurt a.M.;2019-07-05 01:00:00 +0200;Friday;444;18;clear-night;
Zeil (Mitte), Frankfurt a.M.;2019-07-05 02:00:00 +0200;Friday;280;18;partly-cloudy-night;
Zeil (Mitte), Frankfurt a.M.;2019-07-05 03:00:00 +0200;Friday;217;15;clear-night;
Zeil (Mitte), Frankfurt a.M.;2019-07-05 04:00:00 +0200;Friday;91;14;partly-cloudy-night;
Zeil (Mitte), Frankfurt a.M.;2019-07-05 05:00:00 +0200;Friday;128;14;cloudy;
Zeil (Mitte), Frankfurt a.M.;2019-07-05 06:00:00 +0200;Friday;243;14;cloudy;
Zeil (Mitte), Frankfurt a.M.;2019-07-05 07:00:00 +0200;Friday;611;16;partly-cloudy-day;
Zeil (Mitte), Frankfurt a.M.;2019-07-05 08:00:00 +0200;Friday;1233;17;cloudy;
Zeil (Mitte), Frankfurt a.M.;2019-07-05 09:00:00 +0200;Friday;1836;19;partly-cloudy-day;
Zeil (Mitte), Frankfurt a.M.;2019-07-05 10:00:00 +0200;Friday;2893;21;partly-cloudy-day;
Zeil (Mitte), Frankfurt a.M.;2019-07-05 11:00:00 +0200;Friday;4114;23;partly-cloudy-day;
Zeil (Mitte), Frankfurt a.M.;2019-07-05 12:00:00 +0200;Friday;5149;23;partly-cloudy-day;
Zeil (Mitte), Frankfurt a.M.;2019-07-05 13:00:00 +0200;Friday;5159;25;partly-cloudy-day;
Zeil (Mitte), Frankfurt a.M.;2019-07-05 14:00:00 +0200;Friday;5353;26;clear-day;
Zeil (Mitte), Frankfurt a.M.;2019-07-05 15:00:00 +0200;Friday;5666;27;partly-cloudy-day;
Zeil (Mitte), Frankfurt a.M.;2019-07-05 16:00:00 +0200;Friday;5808;28;partly-cloudy-day;
Zeil (Mitte), Frankfurt a.M.;2019-07-05 17:00:00 +0200;Friday;5965;29;partly-cloudy-day;
Zeil (Mitte), Frankfurt a.M.;2019-07-05 18:00:00 +0200;Friday;6143;30;clear-day;
Zeil (Mitte), Frankfurt a.M.;2019-07-05 19:00:00 +0200;Friday;5932;29;clear-day;
Zeil (Mitte), Frankfurt a.M.;2019-07-05 20:00:00 +0200;Friday;4290;27;partly-cloudy-day;
Zeil (Mitte), Frankfurt a.M.;2019-07-05 21:00:00 +0200;Friday;2839;26;partly-cloudy-day;
Zeil (Mitte), Frankfurt a.M.;2019-07-05 22:00:00 +0200;Friday;2366;24;partly-cloudy-night;
Zeil (Mitte), Frankfurt a.M.;2019-07-05 23:00:00 +0200;Friday;2185;22;cloudy;
Zeil (Mitte), Frankfurt a.M.;2019-07-06 00:00:00 +0200;Saturday;1739;22;cloudy;
Zeil (Mitte), Frankfurt a.M.;2019-07-06 01:00:00 +0200;Saturday;1331;20;partly-cloudy-night;
Zeil (Mitte), Frankfurt a.M.;2019-07-06 02:00:00 +0200;Saturday;749;18;cloudy;
Zeil (Mitte), Frankfurt a.M.;2019-07-06 03:00:00 +0200;Saturday;589;17;partly-cloudy-night;
Zeil (Mitte), Frankfurt a.M.;2019-07-06 04:00:00 +0200;Saturday;275;16;partly-cloudy-night;
Zeil (Mitte), Frankfurt a.M.;2019-07-06 05:00:00 +0200;Saturday;221;16;partly-cloudy-night;
Zeil (Mitte), Frankfurt a.M.;2019-07-06 06:00:00 +0200;Saturday;237;14;partly-cloudy-day;
Zeil (Mitte), Frankfurt a.M.;2019-07-06 07:00:00 +0200;Saturday;238;14;partly-cloudy-day;
Zeil (Mitte), Frankfurt a.M.;2019-07-06 08:00:00 +0200;Saturday;518;20;partly-cloudy-day;
Zeil (Mitte), Frankfurt a.M.;2019-07-06 09:00:00 +0200;Saturday;1614;23;clear-day;
Zeil (Mitte), Frankfurt a.M.;2019-07-06 10:00:00 +0200;Saturday;3405;24;clear-day;
Zeil (Mitte), Frankfurt a.M.;2019-07-06 11:00:00 +0200;Saturday;5286;27;clear-day;
