location;time of measurement;weekday;pedestrians count;temperature in ºc;weather condition;incidents
Leipziger Straße (West), Halle (Saale);2020-12-10 00:00:00 +0100;Thursday;14;;;
Leipziger Straße (West), Halle (Saale);2020-12-10 01:00:00 +0100;Thursday;17;;;
Leipziger Straße (West), Halle (Saale);2020-12-10 02:00:00 +0100;Thursday;8;;;
Leipziger Straße (West), Halle (Saale);2020-12-10 03:00:00 +0100;Thursday;6;;;
Leipziger Straße (West), Halle (Saale);2020-12-10 04:00:00 +0100;Thursday;18;;;
Leipziger Straße (West), Halle (Saale);2020-12-10 05:00:00 +0100;Thursday;46;;;
Leipziger Straße (West), Halle (Saale);2020-12-10 06:00:00 +0100;Thursday;146;;;
Leipziger Straße (West), Halle (Saale);2020-12-10 07:00:00 +0100;Thursday;374;;;
Leipziger Straße (West), Halle (Saale);2020-12-10 08:00:00 +0100;Thursday;451;;;
Leipziger Straße (West), Halle (Saale);2020-12-10 09:00:00 +0100;Thursday;861;;;
Leipziger Straße (West), Halle (Saale);2020-12-10 10:00:00 +0100;Thursday;1569;;;
Leipziger Straße (West), Halle (Saale);2020-12-10 11:00:00 +0100;Thursday;1891;;;
Leipziger Straße (West), Halle (Saale);2020-12-10 12:00:00 +0100;Thursday;2014;;;
Leipziger Straße (West), Halle (Saale);2020-12-10 13:00:00 +0100;Thursday;1786;;;
Leipziger Straße (West), Halle (Saale);2020-12-10 14:00:00 +0100;Thursday;1877;;;
Leipziger Straße (West), Halle (Saale);2020-12-10 15:00:00 +0100;Thursday;1972;;;
Leipziger Straße (West), Halle (Saale);2020-12-10 16:00:00 +0100;Thursday;2111;;;
Leipziger Straße (West), Halle (Saale);2020-12-10 17:00:00 +0100;Thursday;1891;;;
Leipziger Straße (West), Halle (Saale);2020-12-10 18:00:00 +0100;Thursday;1183;;;
Leipziger Straße (West), Halle (Saale);2020-12-10 19:00:00 +0100;Thursday;538;;;
Leipziger Straße (West), Halle (Saale);2020-12-10 20:00:00 +0100;Thursday;201;;;
Leipziger Straße (West), Halle (Saale);2020-12-10 21:00:00 +0100;Thursday;121;;;
Leipziger Straße (West), Halle (Saale);2020-12-10 22:00:00 +0100;Thursday;68;;;
Leipziger Straße (West), Halle (Saale);2020-12-10 23:00:00 +0100;Thursday;53;;;
Leipziger Straße (West), Halle (Saale);2020-12-11 00:00:00 +0100;Friday;20;;;
Leipziger Straße (West), Halle (Saale);2020-12-11 01:00:00 +0100;Friday;10;;;
Leipziger Straße (West), Halle (Saale);2020-12-11 02:00:00 +0100;Friday;27;;;
Leipziger Straße (West), Halle (Saale);2020-12-11 03:00:00 +0100;Friday;13;;;
Leipziger Straße (West), Halle (Saale);2020-12-11 04:00:00 +0100;Friday;13;;;
Leipziger Straße (West), Halle (Saale);2020-12-11 05:00:00 +0100;Friday;47;;;
Leipziger Straße (West), Halle (Saale);2020-12-11 06:00:00 +0100;Friday;134;;;
Leipziger Straße (West), Halle (Saale);2020-12-11 07:00:00 +0100;Friday;317;;;
Leipziger Straße (West), Halle (Saale);2020-12-11 08:00:00 +0100;Friday;535;;;
Leipziger Straße (West), Halle (Saale);2020-12-11 09:00:00 +0100;Friday;938;;;
Leipziger Straße (West), Halle (Saale);2020-12-11 10:00:00 +0100;Friday;1616;;;
Leipziger Straße (West), Halle (Saale);2020-12-11 11:00:00 +0100;Friday;1901;;;
Leipziger Straße (West), Halle (Saale);2020-12-11 12:00:00 +0100;Friday;2149;;;
Leipziger Straße (West), Halle (Saale);2020-12-11 13:00:00 +0100;Friday;2275;;;
Leipziger Straße (West), Halle (Saale);2020-12-11 14:00:00 +0100;Friday;2376;;;
Leipziger Straße (West), Halle (Saale);2020-12-11 15:00:00 +0100;Friday;2414;;;
Leipziger Straße (West), Halle (Saale);2020-12-11 16:00:00 +0100;Friday;2491;;;
Leipziger Straße (West), Halle (Saale);2020-12-11 17:00:00 +0100;Friday;2116;;;
Leipziger Straße (West), Halle (Saale);2020-12-11 18:00:00 +0100;Friday;1340;;;
Leipziger Straße (West), Halle (Saale);2020-12-11 19:00:00 +0100;Friday;683;;;
Leipziger Straße (West), Halle (Saale);2020-12-11 20:00:00 +0100;Friday;269;;;
Leipziger Straße (West), Halle (Saale);2020-12-11 21:00:00 +0100;Friday;119;;;
Leipziger Straße (West), Halle (Saale);2020-12-11 22:00:00 +0100;Friday;78;;;
Leipziger Straße (West), Halle (Saale);2020-12-11 23:00:00 +0100;Friday;58;;;
Leipziger Straße (West), Halle (Saale);2020-12-12 00:00:00 +0100;Saturday;47;;;
Leipziger Straße (West), Halle (Saale);2020-12-12 01:00:00 +0100;Saturday;23;;;
Leipziger Straße (West), Halle (Saale);2020-12-12 02:00:00 +0100;Saturday;31;;;
Leipziger Straße (West), Halle (Saale);2020-12-12 03:00:00 +0100;Saturday;13;;;
Leipziger Straße (West), Halle (Saale);2020-12-12 04:00:00 +0100;Saturday;15;;;
Leipziger Straße (West), Halle (Saale);2020-12-12 05:00:00 +0100;Saturday;12;;;
Leipziger Straße (West), Halle (Saale);2020-12-12 06:00:00 +0100;Saturday;30;;;
Leipziger Straße (West), Halle (Saale);2020-12-12 07:00:00 +0100;Saturday;61;;;
Leipziger Straße (West), Halle (Saale);2020-12-12 08:00:00 +0100;Saturday;153;;;
Leipziger Straße (West), Halle (Saale);2020-12-12 09:00:00 +0100;Saturday;554;;;
Leipziger Straße (West), Halle (Saale);2020-12-12 10:00:00 +0100;Saturday;1813;;;
