location;time of measurement;weekday;pedestrians count;temperature in ºc;weather condition;incidents
Jungfernstieg, Hamburg;2018-09-28 00:00:00 +0200;Friday;60;16;partly-cloudy-night;
Jungfernstieg, Hamburg;2018-09-28 01:00:00 +0200;Friday;50;16;partly-cloudy-night;
Jungfernstieg, Hamburg;2018-09-28 02:00:00 +0200;Friday;22;15;partly-cloudy-night;
Jungfernstieg, Hamburg;2018-09-28 03:00:00 +0200;Friday;8;15;partly-cloudy-night;
Jungfernstieg, Hamburg;2018-09-28 04:00:00 +0200;Friday;34;13;partly-cloudy-night;
Jungfernstieg, Hamburg;2018-09-28 05:00:00 +0200;Friday;100;13;partly-cloudy-night;
Jungfernstieg, Hamburg;2018-09-28 06:00:00 +0200;Friday;206;12;partly-cloudy-night;
Jungfernstieg, Hamburg;2018-09-28 07:00:00 +0200;Friday;501;12;partly-cloudy-night;
Jungfernstieg, Hamburg;2018-09-28 08:00:00 +0200;Friday;1163;11;partly-cloudy-day;
Jungfernstieg, Hamburg;2018-09-28 09:00:00 +0200;Friday;1453;12;partly-cloudy-day;
Jungfernstieg, Hamburg;2018-09-28 10:00:00 +0200;Friday;1822;13;cloudy;
Jungfernstieg, Hamburg;2018-09-28 11:00:00 +0200;Friday;2402;13;partly-cloudy-day;
Jungfernstieg, Hamburg;2018-09-28 12:00:00 +0200;Friday;3223;14;partly-cloudy-day;
Jungfernstieg, Hamburg;2018-09-28 13:00:00 +0200;Friday;3723;14;partly-cloudy-day;
Jungfernstieg, Hamburg;2018-09-28 14:00:00 +0200;Friday;3717;15;partly-cloudy-day;
Jungfernstieg, Hamburg;2018-09-28 15:00:00 +0200;Friday;3958;15;partly-cloudy-day;
Jungfernstieg, Hamburg;2018-09-28 16:00:00 +0200;Friday;4145;15;partly-cloudy-day;
Jungfernstieg, Hamburg;2018-09-28 17:00:00 +0200;Friday;4119;14;partly-cloudy-day;
Jungfernstieg, Hamburg;2018-09-28 18:00:00 +0200;Friday;3742;14;partly-cloudy-day;
Jungfernstieg, Hamburg;2018-09-28 19:00:00 +0200;Friday;2499;13;partly-cloudy-night;
Jungfernstieg, Hamburg;2018-09-28 20:00:00 +0200;Friday;1047;12;clear-night;
Jungfernstieg, Hamburg;2018-09-28 21:00:00 +0200;Friday;531;11;clear-night;
Jungfernstieg, Hamburg;2018-09-28 22:00:00 +0200;Friday;352;10;clear-night;
Jungfernstieg, Hamburg;2018-09-28 23:00:00 +0200;Friday;220;9;clear-night;
Jungfernstieg, Hamburg;2018-09-29 00:00:00 +0200;Saturday;109;9;clear-night;
Jungfernstieg, Hamburg;2018-09-29 01:00:00 +0200;Saturday;41;7;clear-night;
Jungfernstieg, Hamburg;2018-09-29 02:00:00 +0200;Saturday;48;5;clear-night;
Jungfernstieg, Hamburg;2018-09-29 03:00:00 +0200;Saturday;21;4;partly-cloudy-night;
Jungfernstieg, Hamburg;2018-09-29 04:00:00 +0200;Saturday;22;4;partly-cloudy-night;
Jungfernstieg, Hamburg;2018-09-29 05:00:00 +0200;Saturday;25;4;partly-cloudy-night;
Jungfernstieg, Hamburg;2018-09-29 06:00:00 +0200;Saturday;102;3;partly-cloudy-night;
Jungfernstieg, Hamburg;2018-09-29 07:00:00 +0200;Saturday;101;4;partly-cloudy-night;
Jungfernstieg, Hamburg;2018-09-29 08:00:00 +0200;Saturday;177;5;partly-cloudy-day;
Jungfernstieg, Hamburg;2018-09-29 09:00:00 +0200;Saturday;884;7;partly-cloudy-day;
Jungfernstieg, Hamburg;2018-09-29 10:00:00 +0200;Saturday;2146;10;partly-cloudy-day;
Jungfernstieg, Hamburg;2018-09-29 11:00:00 +0200;Saturday;4225;11;partly-cloudy-day;
Jungfernstieg, Hamburg;2018-09-29 12:00:00 +0200;Saturday;6442;13;partly-cloudy-day;
Jungfernstieg, Hamburg;2018-09-29 13:00:00 +0200;Saturday;5938;13;partly-cloudy-day;
Jungfernstieg, Hamburg;2018-09-29 14:00:00 +0200;Saturday;5617;14;partly-cloudy-day;
Jungfernstieg, Hamburg;2018-09-29 15:00:00 +0200;Saturday;6662;14;partly-cloudy-day;
Jungfernstieg, Hamburg;2018-09-29 16:00:00 +0200;Saturday;6358;15;partly-cloudy-day;
Jungfernstieg, Hamburg;2018-09-29 17:00:00 +0200;Saturday;5720;14;partly-cloudy-day;
Jungfernstieg, Hamburg;2018-09-29 18:00:00 +0200;Saturday;4715;14;partly-cloudy-day;
Jungfernstieg, Hamburg;2018-09-29 19:00:00 +0200;Saturday;3038;13;partly-cloudy-night;
Jungfernstieg, Hamburg;2018-09-29 20:00:00 +0200;Saturday;1373;11;partly-cloudy-night;
Jungfernstieg, Hamburg;2018-09-29 21:00:00 +0200;Saturday;587;9;partly-cloudy-night;
Jungfernstieg, Hamburg;2018-09-29 22:00:00 +0200;Saturday;444;9;partly-cloudy-night;
Jungfernstieg, Hamburg;2018-09-29 23:00:00 +0200;Saturday;380;8;partly-cloudy-night;
Jungfernstieg, Hamburg;2018-09-30 00:00:00 +0200;Sunday;158;8;partly-cloudy-night;
Jungfernstieg, Hamburg;2018-09-30 01:00:00 +0200;Sunday;73;7;partly-cloudy-night;
Jungfernstieg, Hamburg;2018-09-30 02:00:00 +0200;Sunday;48;6;partly-cloudy-night;
Jungfernstieg, Hamburg;2018-09-30 03:00:00 +0200;Sunday;32;6;partly-cloudy-night;
Jungfernstieg, Hamburg;2018-09-30 04:00:00 +0200;Sunday;25;7;cloudy;
Jungfernstieg, Hamburg;2018-09-30 05:00:00 +0200;Sunday;24;6;cloudy;
Jungfernstieg, Hamburg;2018-09-30 06:00:00 +0200;Sunday;44;6;cloudy;
Jungfernstieg, Hamburg;2018-09-30 07:00:00 +0200;Sunday;43;6;cloudy;
Jungfernstieg, Hamburg;2018-09-30 08:00:00 +0200;Sunday;89;6;cloudy;
Jungfernstieg, Hamburg;2018-09-30 09:00:00 +0200;Sunday;213;7;partly-cloudy-day;
Jungfernstieg, Hamburg;2018-09-30 10:00:00 +0200;Sunday;473;10;partly-cloudy-day;
Jungfernstieg, Hamburg;2018-09-30 11:00:00 +0200;Sunday;616;13;partly-cloudy-day;
Jungfernstieg, Hamburg;2018-09-30 12:00:00 +0200;Sunday;930;14;partly-cloudy-day;
Jungfernstieg, Hamburg;2018-09-30 13:00:00 +0200;Sunday;1036;15;partly-cloudy-day;
Jungfernstieg, Hamburg;2018-09-30 14:00:00 +0200;Sunday;1382;16;partly-cloudy-day;
Jungfernstieg, Hamburg;2018-09-30 15:00:00 +0200;Sunday;1446;16;partly-cloudy-day;
Jungfernstieg, Hamburg;2018-09-30 16:00:00 +0200;Sunday;1321;16;partly-cloudy-day;
Jungfernstieg, Hamburg;2018-09-30 17:00:00 +0200;Sunday;1113;15;partly-cloudy-day;
Jungfernstieg, Hamburg;2018-09-30 18:00:00 +0200;Sunday;894;15;partly-cloudy-day;
Jungfernstieg, Hamburg;2018-09-30 19:00:00 +0200;Sunday;597;14;partly-cloudy-night;
Jungfernstieg, Hamburg;2018-09-30 20:00:00 +0200;Sunday;374;12;cloudy;
Jungfernstieg, Hamburg;2018-09-30 21:00:00 +0200;Sunday;282;11;partly-cloudy-night;
