location;time of measurement;weekday;pedestrians count;temperature in ºc;weather condition;incidents
Georgstraße, Hannover;2018-08-01 00:00:00 +0200;Wednesday;374;24;partly-cloudy-night;
Georgstraße, Hannover;2018-08-01 01:00:00 +0200;Wednesday;187;23;partly-cloudy-night;
Georgstraße, Hannover;2018-08-01 02:00:00 +0200;Wednesday;96;21;partly-cloudy-night;
Georgstraße, Hannover;2018-08-01 03:00:00 +0200;Wednesday;100;20;partly-cloudy-night;
Georgstraße, Hannover;2018-08-01 04:00:00 +0200;Wednesday;81;19;partly-cloudy-night;
Georgstraße, Hannover;2018-08-01 05:00:00 +0200;Wednesday;162;17;partly-cloudy-night;
Georgstraße, Hannover;2018-08-01 06:00:00 +0200;Wednesday;434;17;partly-cloudy-day;
Georgstraße, Hannover;2018-08-01 07:00:00 +0200;Wednesday;797;17;partly-cloudy-day;
Georgstraße, Hannover;2018-08-01 08:00:00 +0200;Wednesday;1340;19;partly-cloudy-day;
Georgstraße, Hannover;2018-08-01 09:00:00 +0200;Wednesday;2136;20;partly-cloudy-day;
Georgstraße, Hannover;2018-08-01 10:00:00 +0200;Wednesday;3031;21;partly-cloudy-day;
Georgstraße, Hannover;2018-08-01 11:00:00 +0200;Wednesday;4052;23;partly-cloudy-day;
Georgstraße, Hannover;2018-08-01 12:00:00 +0200;Wednesday;5416;25;partly-cloudy-day;
Georgstraße, Hannover;2018-08-01 13:00:00 +0200;Wednesday;5455;27;partly-cloudy-day;
Georgstraße, Hannover;2018-08-01 14:00:00 +0200;Wednesday;5488;27;partly-cloudy-day;
Georgstraße, Hannover;2018-08-01 15:00:00 +0200;Wednesday;5618;29;partly-cloudy-day;
Georgstraße, Hannover;2018-08-01 16:00:00 +0200;Wednesday;6009;29;partly-cloudy-day;
Georgstraße, Hannover;2018-08-01 17:00:00 +0200;Wednesday;5958;29;partly-cloudy-day;
Georgstraße, Hannover;2018-08-01 18:00:00 +0200;Wednesday;5550;29;partly-cloudy-day;
Georgstraße, Hannover;2018-08-01 19:00:00 +0200;Wednesday;4598;30;partly-cloudy-day;
Georgstraße, Hannover;2018-08-01 20:00:00 +0200;Wednesday;2693;29;partly-cloudy-day;
Georgstraße, Hannover;2018-08-01 21:00:00 +0200;Wednesday;1459;28;partly-cloudy-day;
Georgstraße, Hannover;2018-08-01 22:00:00 +0200;Wednesday;1026;26;partly-cloudy-night;
Georgstraße, Hannover;2018-08-01 23:00:00 +0200;Wednesday;665;25;partly-cloudy-night;
Georgstraße, Hannover;2018-08-02 00:00:00 +0200;Thursday;452;24;partly-cloudy-night;
Georgstraße, Hannover;2018-08-02 01:00:00 +0200;Thursday;179;22;partly-cloudy-night;
Georgstraße, Hannover;2018-08-02 02:00:00 +0200;Thursday;123;19;partly-cloudy-night;
Georgstraße, Hannover;2018-08-02 03:00:00 +0200;Thursday;116;19;partly-cloudy-night;
Georgstraße, Hannover;2018-08-02 04:00:00 +0200;Thursday;132;18;partly-cloudy-night;
Georgstraße, Hannover;2018-08-02 05:00:00 +0200;Thursday;171;18;partly-cloudy-night;
Georgstraße, Hannover;2018-08-02 06:00:00 +0200;Thursday;401;18;partly-cloudy-day;
Georgstraße, Hannover;2018-08-02 07:00:00 +0200;Thursday;755;17;partly-cloudy-day;
Georgstraße, Hannover;2018-08-02 08:00:00 +0200;Thursday;1275;19;partly-cloudy-day;
Georgstraße, Hannover;2018-08-02 09:00:00 +0200;Thursday;1875;21;partly-cloudy-day;
Georgstraße, Hannover;2018-08-02 10:00:00 +0200;Thursday;2834;22;partly-cloudy-day;
Georgstraße, Hannover;2018-08-02 11:00:00 +0200;Thursday;3821;25;partly-cloudy-day;
Georgstraße, Hannover;2018-08-02 12:00:00 +0200;Thursday;5103;27;partly-cloudy-day;
Georgstraße, Hannover;2018-08-02 13:00:00 +0200;Thursday;5256;28;partly-cloudy-day;
Georgstraße, Hannover;2018-08-02 14:00:00 +0200;Thursday;5149;28;partly-cloudy-day;
Georgstraße, Hannover;2018-08-02 15:00:00 +0200;Thursday;5336;29;partly-cloudy-day;
Georgstraße, Hannover;2018-08-02 16:00:00 +0200;Thursday;5833;30;partly-cloudy-day;
Georgstraße, Hannover;2018-08-02 17:00:00 +0200;Thursday;5846;30;partly-cloudy-day;
Georgstraße, Hannover;2018-08-02 18:00:00 +0200;Thursday;5090;31;partly-cloudy-day;
Georgstraße, Hannover;2018-08-02 19:00:00 +0200;Thursday;4250;30;partly-cloudy-day;
Georgstraße, Hannover;2018-08-02 20:00:00 +0200;Thursday;2636;30;partly-cloudy-day;
Georgstraße, Hannover;2018-08-02 21:00:00 +0200;Thursday;1340;29;partly-cloudy-day;
Georgstraße, Hannover;2018-08-02 22:00:00 +0200;Thursday;1037;27;partly-cloudy-night;
Georgstraße, Hannover;2018-08-02 23:00:00 +0200;Thursday;873;25;partly-cloudy-night;
Georgstraße, Hannover;2018-08-03 00:00:00 +0200;Friday;536;23;partly-cloudy-night;
Georgstraße, Hannover;2018-08-03 01:00:00 +0200;Friday;284;23;partly-cloudy-night;
Georgstraße, Hannover;2018-08-03 02:00:00 +0200;Friday;133;22;partly-cloudy-night;
Georgstraße, Hannover;2018-08-03 03:00:00 +0200;Friday;185;21;partly-cloudy-night;
Georgstraße, Hannover;2018-08-03 04:00:00 +0200;Friday;131;20;partly-cloudy-night;
Georgstraße, Hannover;2018-08-03 05:00:00 +0200;Friday;182;19;partly-cloudy-night;
Georgstraße, Hannover;2018-08-03 06:00:00 +0200;Friday;427;19;partly-cloudy-day;
Georgstraße, Hannover;2018-08-03 07:00:00 +0200;Friday;716;19;partly-cloudy-day;
Georgstraße, Hannover;2018-08-03 08:00:00 +0200;Friday;1166;21;clear-day;
Georgstraße, Hannover;2018-08-03 09:00:00 +0200;Friday;1787;23;clear-day;
Georgstraße, Hannover;2018-08-03 10:00:00 +0200;Friday;2725;26;clear-day;
Georgstraße, Hannover;2018-08-03 11:00:00 +0200;Friday;3634;28;partly-cloudy-day;
Georgstraße, Hannover;2018-08-03 12:00:00 +0200;Friday;4714;29;partly-cloudy-day;
Georgstraße, Hannover;2018-08-03 13:00:00 +0200;Friday;5051;30;partly-cloudy-day;
Georgstraße, Hannover;2018-08-03 14:00:00 +0200;Friday;4723;31;partly-cloudy-day;
Georgstraße, Hannover;2018-08-03 15:00:00 +0200;Friday;4988;32;partly-cloudy-day;
Georgstraße, Hannover;2018-08-03 16:00:00 +0200;Friday;5282;32;partly-cloudy-day;
Georgstraße, Hannover;2018-08-03 17:00:00 +0200;Friday;5334;33;partly-cloudy-day;
Georgstraße, Hannover;2018-08-03 18:00:00 +0200;Friday;5064;33;partly-cloudy-day;
Georgstraße, Hannover;2018-08-03 19:00:00 +0200;Friday;4339;33;partly-cloudy-day;
