location;time of measurement;weekday;pedestrians count;temperature in ºc;weather condition;incidents
Stadthausstraße, Mainz;2018-05-01 00:00:00 +0200;Tuesday;0;11;partly-cloudy-night;
Stadthausstraße, Mainz;2018-05-01 01:00:00 +0200;Tuesday;0;10;partly-cloudy-night;
Stadthausstraße, Mainz;2018-05-01 02:00:00 +0200;Tuesday;27;9;partly-cloudy-night;
Stadthausstraße, Mainz;2018-05-01 03:00:00 +0200;Tuesday;14;9;partly-cloudy-night;
Stadthausstraße, Mainz;2018-05-01 04:00:00 +0200;Tuesday;11;8;cloudy;
Stadthausstraße, Mainz;2018-05-01 05:00:00 +0200;Tuesday;13;7;cloudy;
Stadthausstraße, Mainz;2018-05-01 06:00:00 +0200;Tuesday;21;7;cloudy;
Stadthausstraße, Mainz;2018-05-01 07:00:00 +0200;Tuesday;11;7;cloudy;
Stadthausstraße, Mainz;2018-05-01 08:00:00 +0200;Tuesday;50;7;cloudy;
Stadthausstraße, Mainz;2018-05-01 09:00:00 +0200;Tuesday;57;9;partly-cloudy-day;
Stadthausstraße, Mainz;2018-05-01 10:00:00 +0200;Tuesday;80;9;partly-cloudy-day;
Stadthausstraße, Mainz;2018-05-01 11:00:00 +0200;Tuesday;177;10;cloudy;
Stadthausstraße, Mainz;2018-05-01 12:00:00 +0200;Tuesday;203;11;partly-cloudy-day;
Stadthausstraße, Mainz;2018-05-01 13:00:00 +0200;Tuesday;304;12;partly-cloudy-day;
Stadthausstraße, Mainz;2018-05-01 14:00:00 +0200;Tuesday;302;13;partly-cloudy-day;
Stadthausstraße, Mainz;2018-05-01 15:00:00 +0200;Tuesday;419;14;partly-cloudy-day;
Stadthausstraße, Mainz;2018-05-01 16:00:00 +0200;Tuesday;455;14;partly-cloudy-day;
Stadthausstraße, Mainz;2018-05-01 17:00:00 +0200;Tuesday;407;14;partly-cloudy-day;
Stadthausstraße, Mainz;2018-05-01 18:00:00 +0200;Tuesday;343;14;partly-cloudy-day;
Stadthausstraße, Mainz;2018-05-01 19:00:00 +0200;Tuesday;243;14;partly-cloudy-day;
Stadthausstraße, Mainz;2018-05-01 20:00:00 +0200;Tuesday;214;13;partly-cloudy-day;
Stadthausstraße, Mainz;2018-05-01 21:00:00 +0200;Tuesday;120;11;clear-night;
Stadthausstraße, Mainz;2018-05-01 22:00:00 +0200;Tuesday;56;9;clear-night;
Stadthausstraße, Mainz;2018-05-01 23:00:00 +0200;Tuesday;40;7;clear-night;
Stadthausstraße, Mainz;2018-05-02 00:00:00 +0200;Wednesday;11;6;clear-night;
Stadthausstraße, Mainz;2018-05-02 01:00:00 +0200;Wednesday;8;5;clear-night;
Stadthausstraße, Mainz;2018-05-02 02:00:00 +0200;Wednesday;3;5;clear-night;
Stadthausstraße, Mainz;2018-05-02 03:00:00 +0200;Wednesday;15;4;partly-cloudy-night;
Stadthausstraße, Mainz;2018-05-02 04:00:00 +0200;Wednesday;6;3;partly-cloudy-night;
Stadthausstraße, Mainz;2018-05-02 05:00:00 +0200;Wednesday;13;3;partly-cloudy-night;
Stadthausstraße, Mainz;2018-05-02 06:00:00 +0200;Wednesday;61;3;partly-cloudy-night;
Stadthausstraße, Mainz;2018-05-02 07:00:00 +0200;Wednesday;131;4;partly-cloudy-day;
Stadthausstraße, Mainz;2018-05-02 08:00:00 +0200;Wednesday;366;6;partly-cloudy-day;
Stadthausstraße, Mainz;2018-05-02 09:00:00 +0200;Wednesday;570;8;partly-cloudy-day;
Stadthausstraße, Mainz;2018-05-02 10:00:00 +0200;Wednesday;1103;10;clear-day;
Stadthausstraße, Mainz;2018-05-02 11:00:00 +0200;Wednesday;1457;12;partly-cloudy-day;
Stadthausstraße, Mainz;2018-05-02 12:00:00 +0200;Wednesday;1728;14;partly-cloudy-day;
Stadthausstraße, Mainz;2018-05-02 13:00:00 +0200;Wednesday;1665;15;partly-cloudy-day;
Stadthausstraße, Mainz;2018-05-02 14:00:00 +0200;Wednesday;1454;15;partly-cloudy-day;
Stadthausstraße, Mainz;2018-05-02 15:00:00 +0200;Wednesday;1362;16;partly-cloudy-day;
Stadthausstraße, Mainz;2018-05-02 16:00:00 +0200;Wednesday;1576;17;partly-cloudy-day;
Stadthausstraße, Mainz;2018-05-02 17:00:00 +0200;Wednesday;1587;17;partly-cloudy-day;
Stadthausstraße, Mainz;2018-05-02 18:00:00 +0200;Wednesday;1136;17;clear-day;
Stadthausstraße, Mainz;2018-05-02 19:00:00 +0200;Wednesday;743;16;clear-day;
Stadthausstraße, Mainz;2018-05-02 20:00:00 +0200;Wednesday;261;16;clear-day;
Stadthausstraße, Mainz;2018-05-02 21:00:00 +0200;Wednesday;139;14;clear-night;
Stadthausstraße, Mainz;2018-05-02 22:00:00 +0200;Wednesday;93;13;cloudy;
Stadthausstraße, Mainz;2018-05-02 23:00:00 +0200;Wednesday;37;12;partly-cloudy-night;
Stadthausstraße, Mainz;2018-05-03 00:00:00 +0200;Thursday;15;12;cloudy;
Stadthausstraße, Mainz;2018-05-03 01:00:00 +0200;Thursday;15;11;cloudy;
