location;time of measurement;weekday;pedestrians count;temperature in ºc;weather condition;incidents
Kaufingerstraße, München;2019-08-28 00:00:00 +0200;Wednesday;362;17;cloudy;
Kaufingerstraße, München;2019-08-28 01:00:00 +0200;Wednesday;161;16;cloudy;
Kaufingerstraße, München;2019-08-28 02:00:00 +0200;Wednesday;58;16;partly-cloudy-night;
Kaufingerstraße, München;2019-08-28 03:00:00 +0200;Wednesday;35;16;partly-cloudy-night;
Kaufingerstraße, München;2019-08-28 04:00:00 +0200;Wednesday;45;15;partly-cloudy-night;
Kaufingerstraße, München;2019-08-28 05:00:00 +0200;Wednesday;123;16;partly-cloudy-night;
Kaufingerstraße, München;2019-08-28 06:00:00 +0200;Wednesday;236;15;partly-cloudy-night;
Kaufingerstraße, München;2019-08-28 07:00:00 +0200;Wednesday;467;16;cloudy;
Kaufingerstraße, München;2019-08-28 08:00:00 +0200;Wednesday;925;17;cloudy;
Kaufingerstraße, München;2019-08-28 09:00:00 +0200;Wednesday;1708;19;cloudy;
Kaufingerstraße, München;2019-08-28 10:00:00 +0200;Wednesday;3688;22;cloudy;
Kaufingerstraße, München;2019-08-28 11:00:00 +0200;Wednesday;5599;24;cloudy;
Kaufingerstraße, München;2019-08-28 12:00:00 +0200;Wednesday;6553;25;cloudy;
Kaufingerstraße, München;2019-08-28 13:00:00 +0200;Wednesday;7413;27;cloudy;
Kaufingerstraße, München;2019-08-28 14:00:00 +0200;Wednesday;7359;28;cloudy;
Kaufingerstraße, München;2019-08-28 15:00:00 +0200;Wednesday;8067;29;partly-cloudy-day;
Kaufingerstraße, München;2019-08-28 16:00:00 +0200;Wednesday;8161;29;partly-cloudy-day;
Kaufingerstraße, München;2019-08-28 17:00:00 +0200;Wednesday;8114;29;partly-cloudy-day;
Kaufingerstraße, München;2019-08-28 18:00:00 +0200;Wednesday;8390;29;partly-cloudy-day;
Kaufingerstraße, München;2019-08-28 19:00:00 +0200;Wednesday;7148;28;partly-cloudy-day;
Kaufingerstraße, München;2019-08-28 20:00:00 +0200;Wednesday;4121;25;partly-cloudy-night;
Kaufingerstraße, München;2019-08-28 21:00:00 +0200;Wednesday;2797;21;partly-cloudy-night;
Kaufingerstraße, München;2019-08-28 22:00:00 +0200;Wednesday;2036;21;partly-cloudy-night;
Kaufingerstraße, München;2019-08-28 23:00:00 +0200;Wednesday;1012;21;cloudy;
Kaufingerstraße, München;2019-08-29 00:00:00 +0200;Thursday;303;19;cloudy;
Kaufingerstraße, München;2019-08-29 01:00:00 +0200;Thursday;184;18;partly-cloudy-night;
Kaufingerstraße, München;2019-08-29 02:00:00 +0200;Thursday;84;19;partly-cloudy-night;
Kaufingerstraße, München;2019-08-29 03:00:00 +0200;Thursday;51;19;partly-cloudy-night;
Kaufingerstraße, München;2019-08-29 04:00:00 +0200;Thursday;74;19;partly-cloudy-night;
Kaufingerstraße, München;2019-08-29 05:00:00 +0200;Thursday;136;17;partly-cloudy-night;
Kaufingerstraße, München;2019-08-29 06:00:00 +0200;Thursday;219;17;partly-cloudy-night;
Kaufingerstraße, München;2019-08-29 07:00:00 +0200;Thursday;481;18;partly-cloudy-day;
Kaufingerstraße, München;2019-08-29 08:00:00 +0200;Thursday;883;19;partly-cloudy-day;
Kaufingerstraße, München;2019-08-29 09:00:00 +0200;Thursday;1708;19;partly-cloudy-day;
Kaufingerstraße, München;2019-08-29 10:00:00 +0200;Thursday;3752;20;partly-cloudy-day;
Kaufingerstraße, München;2019-08-29 11:00:00 +0200;Thursday;6070;19;partly-cloudy-day;
Kaufingerstraße, München;2019-08-29 12:00:00 +0200;Thursday;7309;21;partly-cloudy-day;
Kaufingerstraße, München;2019-08-29 13:00:00 +0200;Thursday;7954;22;partly-cloudy-day;
Kaufingerstraße, München;2019-08-29 14:00:00 +0200;Thursday;8325;23;partly-cloudy-day;
Kaufingerstraße, München;2019-08-29 15:00:00 +0200;Thursday;9054;24;partly-cloudy-day;
Kaufingerstraße, München;2019-08-29 16:00:00 +0200;Thursday;9207;24;partly-cloudy-day;
Kaufingerstraße, München;2019-08-29 17:00:00 +0200;Thursday;9380;24;partly-cloudy-day;
Kaufingerstraße, München;2019-08-29 18:00:00 +0200;Thursday;8951;23;partly-cloudy-day;
Kaufingerstraße, München;2019-08-29 19:00:00 +0200;Thursday;7391;24;partly-cloudy-day;
Kaufingerstraße, München;2019-08-29 20:00:00 +0200;Thursday;4037;22;partly-cloudy-night;
Kaufingerstraße, München;2019-08-29 21:00:00 +0200;Thursday;2654;19;cloudy;
Kaufingerstraße, München;2019-08-29 22:00:00 +0200;Thursday;1793;18;partly-cloudy-night;
Kaufingerstraße, München;2019-08-29 23:00:00 +0200;Thursday;994;17;cloudy;
Kaufingerstraße, München;2019-08-30 00:00:00 +0200;Friday;515;17;cloudy;
Kaufingerstraße, München;2019-08-30 01:00:00 +0200;Friday;200;16;cloudy;
Kaufingerstraße, München;2019-08-30 02:00:00 +0200;Friday;57;16;partly-cloudy-night;
Kaufingerstraße, München;2019-08-30 03:00:00 +0200;Friday;36;16;partly-cloudy-night;
Kaufingerstraße, München;2019-08-30 04:00:00 +0200;Friday;45;15;partly-cloudy-night;
Kaufingerstraße, München;2019-08-30 05:00:00 +0200;Friday;159;15;clear-night;
Kaufingerstraße, München;2019-08-30 06:00:00 +0200;Friday;216;15;clear-night;
Kaufingerstraße, München;2019-08-30 07:00:00 +0200;Friday;454;14;clear-day;
Kaufingerstraße, München;2019-08-30 08:00:00 +0200;Friday;856;16;clear-day;
Kaufingerstraße, München;2019-08-30 09:00:00 +0200;Friday;2018;19;clear-day;
Kaufingerstraße, München;2019-08-30 10:00:00 +0200;Friday;4176;22;clear-day;
Kaufingerstraße, München;2019-08-30 11:00:00 +0200;Friday;6198;23;clear-day;
Kaufingerstraße, München;2019-08-30 12:00:00 +0200;Friday;7363;25;partly-cloudy-day;
Kaufingerstraße, München;2019-08-30 13:00:00 +0200;Friday;7763;26;partly-cloudy-day;
Kaufingerstraße, München;2019-08-30 14:00:00 +0200;Friday;8366;27;partly-cloudy-day;
Kaufingerstraße, München;2019-08-30 15:00:00 +0200;Friday;9002;27;partly-cloudy-day;
Kaufingerstraße, München;2019-08-30 16:00:00 +0200;Friday;9587;27;partly-cloudy-day;
Kaufingerstraße, München;2019-08-30 17:00:00 +0200;Friday;9885;27;partly-cloudy-day;
Kaufingerstraße, München;2019-08-30 18:00:00 +0200;Friday;9184;27;partly-cloudy-day;
Kaufingerstraße, München;2019-08-30 19:00:00 +0200;Friday;7903;26;partly-cloudy-day;
Kaufingerstraße, München;2019-08-30 20:00:00 +0200;Friday;4769;23;partly-cloudy-night;
Kaufingerstraße, München;2019-08-30 21:00:00 +0200;Friday;3496;21;partly-cloudy-night;
Kaufingerstraße, München;2019-08-30 22:00:00 +0200;Friday;2691;19;clear-night;
Kaufingerstraße, München;2019-08-30 23:00:00 +0200;Friday;1650;17;clear-night;
Kaufingerstraße, München;2019-08-31 00:00:00 +0200;Saturday;985;17;clear-night;
Kaufingerstraße, München;2019-08-31 01:00:00 +0200;Saturday;391;16;clear-night;
Kaufingerstraße, München;2019-08-31 02:00:00 +0200;Saturday;296;15;clear-night;
Kaufingerstraße, München;2019-08-31 03:00:00 +0200;Saturday;197;15;clear-night;
Kaufingerstraße, München;2019-08-31 04:00:00 +0200;Saturday;140;14;clear-night;
Kaufingerstraße, München;2019-08-31 05:00:00 +0200;Saturday;108;14;clear-night;
Kaufingerstraße, München;2019-08-31 06:00:00 +0200;Saturday;161;14;clear-night;
Kaufingerstraße, München;2019-08-31 07:00:00 +0200;Saturday;235;13;clear-day;
Kaufingerstraße, München;2019-08-31 08:00:00 +0200;Saturday;560;15;clear-day;
Kaufingerstraße, München;2019-08-31 09:00:00 +0200;Saturday;2029;19;clear-day;
Kaufingerstraße, München;2019-08-31 10:00:00 +0200;Saturday;5757;22;clear-day;
Kaufingerstraße, München;2019-08-31 11:00:00 +0200;Saturday;8982;23;partly-cloudy-day;
Kaufingerstraße, München;2019-08-31 12:00:00 +0200;Saturday;9954;25;clear-day;
Kaufingerstraße, München;2019-08-31 13:00:00 +0200;Saturday;10658;26;partly-cloudy-day;
