location;time of measurement;weekday;pedestrians count;temperature in ºc;weather condition;incidents
Kröpeliner Straße (West), Rostock;2019-11-01 00:00:00 +0100;Friday;28;-1;partly-cloudy-night;
Kröpeliner Straße (West), Rostock;2019-11-01 01:00:00 +0100;Friday;40;-1;clear-night;
Kröpeliner Straße (West), Rostock;2019-11-01 02:00:00 +0100;Friday;31;-1;clear-night;
Kröpeliner Straße (West), Rostock;2019-11-01 03:00:00 +0100;Friday;7;-1;clear-night;
Kröpeliner Straße (West), Rostock;2019-11-01 04:00:00 +0100;Friday;12;-1;partly-cloudy-night;
Kröpeliner Straße (West), Rostock;2019-11-01 05:00:00 +0100;Friday;26;-1;partly-cloudy-night;
Kröpeliner Straße (West), Rostock;2019-11-01 06:00:00 +0100;Friday;91;-1;partly-cloudy-night;
Kröpeliner Straße (West), Rostock;2019-11-01 07:00:00 +0100;Friday;221;-2;partly-cloudy-night;
Kröpeliner Straße (West), Rostock;2019-11-01 08:00:00 +0100;Friday;422;-2;partly-cloudy-day;
Kröpeliner Straße (West), Rostock;2019-11-01 09:00:00 +0100;Friday;1144;1;partly-cloudy-day;
Kröpeliner Straße (West), Rostock;2019-11-01 10:00:00 +0100;Friday;3049;1;partly-cloudy-day;
Kröpeliner Straße (West), Rostock;2019-11-01 11:00:00 +0100;Friday;4562;3;partly-cloudy-day;
Kröpeliner Straße (West), Rostock;2019-11-01 12:00:00 +0100;Friday;5417;4;partly-cloudy-day;
Kröpeliner Straße (West), Rostock;2019-11-01 13:00:00 +0100;Friday;5674;5;partly-cloudy-day;
Kröpeliner Straße (West), Rostock;2019-11-01 14:00:00 +0100;Friday;5597;5;partly-cloudy-day;
Kröpeliner Straße (West), Rostock;2019-11-01 15:00:00 +0100;Friday;5223;5;partly-cloudy-day;
Kröpeliner Straße (West), Rostock;2019-11-01 16:00:00 +0100;Friday;4861;5;partly-cloudy-day;
Kröpeliner Straße (West), Rostock;2019-11-01 17:00:00 +0100;Friday;3860;5;cloudy;
Kröpeliner Straße (West), Rostock;2019-11-01 18:00:00 +0100;Friday;2313;5;partly-cloudy-night;
Kröpeliner Straße (West), Rostock;2019-11-01 19:00:00 +0100;Friday;1077;5;partly-cloudy-night;
Kröpeliner Straße (West), Rostock;2019-11-01 20:00:00 +0100;Friday;344;4;partly-cloudy-night;
Kröpeliner Straße (West), Rostock;2019-11-01 21:00:00 +0100;Friday;156;4;partly-cloudy-night;
Kröpeliner Straße (West), Rostock;2019-11-01 22:00:00 +0100;Friday;224;4;rain;
Kröpeliner Straße (West), Rostock;2019-11-01 23:00:00 +0100;Friday;108;4;rain;
Kröpeliner Straße (West), Rostock;2019-11-02 00:00:00 +0100;Saturday;72;4;fog;
Kröpeliner Straße (West), Rostock;2019-11-02 01:00:00 +0100;Saturday;89;5;fog;
Kröpeliner Straße (West), Rostock;2019-11-02 02:00:00 +0100;Saturday;50;5;fog;
Kröpeliner Straße (West), Rostock;2019-11-02 03:00:00 +0100;Saturday;32;6;fog;
Kröpeliner Straße (West), Rostock;2019-11-02 04:00:00 +0100;Saturday;24;6;rain;
Kröpeliner Straße (West), Rostock;2019-11-02 05:00:00 +0100;Saturday;24;7;rain;
Kröpeliner Straße (West), Rostock;2019-11-02 06:00:00 +0100;Saturday;30;7;rain;
Kröpeliner Straße (West), Rostock;2019-11-02 07:00:00 +0100;Saturday;57;7;cloudy;
Kröpeliner Straße (West), Rostock;2019-11-02 08:00:00 +0100;Saturday;179;8;rain;
Kröpeliner Straße (West), Rostock;2019-11-02 09:00:00 +0100;Saturday;728;8;partly-cloudy-day;
Kröpeliner Straße (West), Rostock;2019-11-02 10:00:00 +0100;Saturday;2108;9;rain;
Kröpeliner Straße (West), Rostock;2019-11-02 11:00:00 +0100;Saturday;3439;9;rain;
