location;time of measurement;weekday;pedestrians count;temperature in ºc;weather condition;incidents
Bahnhofstraße (Mitte), Saarbrücken;2018-05-01 00:00:00 +0200;Tuesday;0;7;partly-cloudy-night;
Bahnhofstraße (Mitte), Saarbrücken;2018-05-01 01:00:00 +0200;Tuesday;0;6;partly-cloudy-night;
Bahnhofstraße (Mitte), Saarbrücken;2018-05-01 02:00:00 +0200;Tuesday;174;6;clear-night;
Bahnhofstraße (Mitte), Saarbrücken;2018-05-01 03:00:00 +0200;Tuesday;125;6;partly-cloudy-night;
Bahnhofstraße (Mitte), Saarbrücken;2018-05-01 04:00:00 +0200;Tuesday;170;6;partly-cloudy-night;
Bahnhofstraße (Mitte), Saarbrücken;2018-05-01 05:00:00 +0200;Tuesday;118;6;partly-cloudy-night;
Bahnhofstraße (Mitte), Saarbrücken;2018-05-01 06:00:00 +0200;Tuesday;67;6;partly-cloudy-night;
Bahnhofstraße (Mitte), Saarbrücken;2018-05-01 07:00:00 +0200;Tuesday;69;6;partly-cloudy-day;
Bahnhofstraße (Mitte), Saarbrücken;2018-05-01 08:00:00 +0200;Tuesday;125;6;partly-cloudy-day;
Bahnhofstraße (Mitte), Saarbrücken;2018-05-01 09:00:00 +0200;Tuesday;172;6;partly-cloudy-day;
Bahnhofstraße (Mitte), Saarbrücken;2018-05-01 10:00:00 +0200;Tuesday;387;8;partly-cloudy-day;
Bahnhofstraße (Mitte), Saarbrücken;2018-05-01 11:00:00 +0200;Tuesday;496;8;partly-cloudy-day;
Bahnhofstraße (Mitte), Saarbrücken;2018-05-01 12:00:00 +0200;Tuesday;730;9;partly-cloudy-day;
Bahnhofstraße (Mitte), Saarbrücken;2018-05-01 13:00:00 +0200;Tuesday;853;11;partly-cloudy-day;
Bahnhofstraße (Mitte), Saarbrücken;2018-05-01 14:00:00 +0200;Tuesday;1018;12;partly-cloudy-day;
Bahnhofstraße (Mitte), Saarbrücken;2018-05-01 15:00:00 +0200;Tuesday;1271;13;partly-cloudy-day;
Bahnhofstraße (Mitte), Saarbrücken;2018-05-01 16:00:00 +0200;Tuesday;1398;13;partly-cloudy-day;
Bahnhofstraße (Mitte), Saarbrücken;2018-05-01 17:00:00 +0200;Tuesday;1086;14;partly-cloudy-day;
Bahnhofstraße (Mitte), Saarbrücken;2018-05-01 18:00:00 +0200;Tuesday;1024;14;partly-cloudy-day;
Bahnhofstraße (Mitte), Saarbrücken;2018-05-01 19:00:00 +0200;Tuesday;1012;13;partly-cloudy-day;
Bahnhofstraße (Mitte), Saarbrücken;2018-05-01 20:00:00 +0200;Tuesday;779;12;partly-cloudy-day;
Bahnhofstraße (Mitte), Saarbrücken;2018-05-01 21:00:00 +0200;Tuesday;407;10;clear-night;
Bahnhofstraße (Mitte), Saarbrücken;2018-05-01 22:00:00 +0200;Tuesday;288;7;partly-cloudy-night;
Bahnhofstraße (Mitte), Saarbrücken;2018-05-01 23:00:00 +0200;Tuesday;195;5;clear-night;
Bahnhofstraße (Mitte), Saarbrücken;2018-05-02 00:00:00 +0200;Wednesday;85;4;clear-night;
Bahnhofstraße (Mitte), Saarbrücken;2018-05-02 01:00:00 +0200;Wednesday;40;3;clear-night;
Bahnhofstraße (Mitte), Saarbrücken;2018-05-02 02:00:00 +0200;Wednesday;8;2;clear-night;
Bahnhofstraße (Mitte), Saarbrücken;2018-05-02 03:00:00 +0200;Wednesday;16;2;clear-night;
Bahnhofstraße (Mitte), Saarbrücken;2018-05-02 04:00:00 +0200;Wednesday;13;1;clear-night;
Bahnhofstraße (Mitte), Saarbrücken;2018-05-02 05:00:00 +0200;Wednesday;50;1;clear-night;
Bahnhofstraße (Mitte), Saarbrücken;2018-05-02 06:00:00 +0200;Wednesday;189;0;clear-night;
Bahnhofstraße (Mitte), Saarbrücken;2018-05-02 07:00:00 +0200;Wednesday;499;1;partly-cloudy-day;
Bahnhofstraße (Mitte), Saarbrücken;2018-05-02 08:00:00 +0200;Wednesday;843;4;clear-day;
Bahnhofstraße (Mitte), Saarbrücken;2018-05-02 09:00:00 +0200;Wednesday;1627;8;partly-cloudy-day;
Bahnhofstraße (Mitte), Saarbrücken;2018-05-02 10:00:00 +0200;Wednesday;2730;11;cloudy;
Bahnhofstraße (Mitte), Saarbrücken;2018-05-02 11:00:00 +0200;Wednesday;3764;13;partly-cloudy-day;
Bahnhofstraße (Mitte), Saarbrücken;2018-05-02 12:00:00 +0200;Wednesday;4793;14;partly-cloudy-day;
Bahnhofstraße (Mitte), Saarbrücken;2018-05-02 13:00:00 +0200;Wednesday;4694;15;partly-cloudy-day;
Bahnhofstraße (Mitte), Saarbrücken;2018-05-02 14:00:00 +0200;Wednesday;4665;16;partly-cloudy-day;
Bahnhofstraße (Mitte), Saarbrücken;2018-05-02 15:00:00 +0200;Wednesday;4463;16;partly-cloudy-day;
Bahnhofstraße (Mitte), Saarbrücken;2018-05-02 16:00:00 +0200;Wednesday;4548;17;partly-cloudy-day;
Bahnhofstraße (Mitte), Saarbrücken;2018-05-02 17:00:00 +0200;Wednesday;4348;17;partly-cloudy-day;
Bahnhofstraße (Mitte), Saarbrücken;2018-05-02 18:00:00 +0200;Wednesday;3642;16;partly-cloudy-day;
