location;time of measurement;weekday;pedestrians count;temperature in ºc;weather condition;incidents
Königstraße (Mitte), Stuttgart;2018-05-01 00:00:00 +0200;Tuesday;0;13;clear-night;
Königstraße (Mitte), Stuttgart;2018-05-01 01:00:00 +0200;Tuesday;0;13;clear-night;
Königstraße (Mitte), Stuttgart;2018-05-01 02:00:00 +0200;Tuesday;482;12;partly-cloudy-night;
Königstraße (Mitte), Stuttgart;2018-05-01 03:00:00 +0200;Tuesday;487;12;partly-cloudy-night;
Königstraße (Mitte), Stuttgart;2018-05-01 04:00:00 +0200;Tuesday;364;12;partly-cloudy-night;
Königstraße (Mitte), Stuttgart;2018-05-01 05:00:00 +0200;Tuesday;177;10;partly-cloudy-night;
Königstraße (Mitte), Stuttgart;2018-05-01 06:00:00 +0200;Tuesday;103;9;partly-cloudy-night;
Königstraße (Mitte), Stuttgart;2018-05-01 07:00:00 +0200;Tuesday;83;9;partly-cloudy-day;
Königstraße (Mitte), Stuttgart;2018-05-01 08:00:00 +0200;Tuesday;146;8;partly-cloudy-day;
Königstraße (Mitte), Stuttgart;2018-05-01 09:00:00 +0200;Tuesday;290;8;partly-cloudy-day;
Königstraße (Mitte), Stuttgart;2018-05-01 10:00:00 +0200;Tuesday;496;8;partly-cloudy-day;
Königstraße (Mitte), Stuttgart;2018-05-01 11:00:00 +0200;Tuesday;1329;9;partly-cloudy-day;
Königstraße (Mitte), Stuttgart;2018-05-01 12:00:00 +0200;Tuesday;1445;11;partly-cloudy-day;
Königstraße (Mitte), Stuttgart;2018-05-01 13:00:00 +0200;Tuesday;1791;12;partly-cloudy-day;
Königstraße (Mitte), Stuttgart;2018-05-01 14:00:00 +0200;Tuesday;2203;13;partly-cloudy-day;
Königstraße (Mitte), Stuttgart;2018-05-01 15:00:00 +0200;Tuesday;2557;14;partly-cloudy-day;
Königstraße (Mitte), Stuttgart;2018-05-01 16:00:00 +0200;Tuesday;2793;15;partly-cloudy-day;
Königstraße (Mitte), Stuttgart;2018-05-01 17:00:00 +0200;Tuesday;2773;15;partly-cloudy-day;
Königstraße (Mitte), Stuttgart;2018-05-01 18:00:00 +0200;Tuesday;2302;15;clear-day;
Königstraße (Mitte), Stuttgart;2018-05-01 19:00:00 +0200;Tuesday;2151;14;clear-day;
Königstraße (Mitte), Stuttgart;2018-05-01 20:00:00 +0200;Tuesday;1246;13;clear-day;
Königstraße (Mitte), Stuttgart;2018-05-01 21:00:00 +0200;Tuesday;645;11;clear-night;
Königstraße (Mitte), Stuttgart;2018-05-01 22:00:00 +0200;Tuesday;508;9;clear-night;
