location;time of measurement;weekday;pedestrians count;temperature in ºc;weather condition;incidents
Obernstraße, Bremen;2019-10-01 00:00:00 +0200;Tuesday;16;;;
Obernstraße, Bremen;2019-10-01 01:00:00 +0200;Tuesday;7;;;
Obernstraße, Bremen;2019-10-01 02:00:00 +0200;Tuesday;6;;;
Obernstraße, Bremen;2019-10-01 03:00:00 +0200;Tuesday;5;;;
Obernstraße, Bremen;2019-10-01 04:00:00 +0200;Tuesday;4;;;
Obernstraße, Bremen;2019-10-01 05:00:00 +0200;Tuesday;11;;;
Obernstraße, Bremen;2019-10-01 06:00:00 +0200;Tuesday;44;;;
Obernstraße, Bremen;2019-10-01 07:00:00 +0200;Tuesday;167;;;
Obernstraße, Bremen;2019-10-01 08:00:00 +0200;Tuesday;262;;;
Obernstraße, Bremen;2019-10-01 09:00:00 +0200;Tuesday;249;;;
Obernstraße, Bremen;2019-10-01 10:00:00 +0200;Tuesday;598;;;
Obernstraße, Bremen;2019-10-01 11:00:00 +0200;Tuesday;1176;;;
Obernstraße, Bremen;2019-10-01 12:00:00 +0200;Tuesday;1995;;;
Obernstraße, Bremen;2019-10-01 13:00:00 +0200;Tuesday;2432;;;
Obernstraße, Bremen;2019-10-01 14:00:00 +0200;Tuesday;1789;;;
Obernstraße, Bremen;2019-10-01 15:00:00 +0200;Tuesday;2024;;;
Obernstraße, Bremen;2019-10-01 16:00:00 +0200;Tuesday;2240;;;
Obernstraße, Bremen;2019-10-01 17:00:00 +0200;Tuesday;2223;;;
Obernstraße, Bremen;2019-10-01 18:00:00 +0200;Tuesday;1769;;;
Obernstraße, Bremen;2019-10-01 19:00:00 +0200;Tuesday;988;;;
Obernstraße, Bremen;2019-10-01 20:00:00 +0200;Tuesday;289;;;
Obernstraße, Bremen;2019-10-01 21:00:00 +0200;Tuesday;157;;;
Obernstraße, Bremen;2019-10-01 22:00:00 +0200;Tuesday;108;;;
Obernstraße, Bremen;2019-10-01 23:00:00 +0200;Tuesday;50;;;
Obernstraße, Bremen;2019-10-02 00:00:00 +0200;Wednesday;15;;;
Obernstraße, Bremen;2019-10-02 01:00:00 +0200;Wednesday;2;;;
Obernstraße, Bremen;2019-10-02 02:00:00 +0200;Wednesday;8;;;
